record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1074910277","-259330688","1982623488","10.5","140","13.0","10.161","295","98","13.0","10.161",
"1074910278","-259329664","1982623104","20.75","141","13.0","10.319","270","98","13.0","10.319",
"1074910279","-259328688","1982622592","31.14","141","13.0","10.454","271","97","13.0","10.454",
"1074910280","-259328080","1982621696","41.59","142","13.0","10.457","310","96","13.0","10.457",
"1074910281","-259328032","1982620416","52.09","143","13.0","10.579","347","96","13.0","10.579",
"1074910282","-259328320","1982619136","62.85","143","13.0","10.77","296","97","13.0","10.77",
"1074910283","-259328736","1982618112","73.6","143","13.0","10.885","298","97","13.0","10.885",
"1074910284","-259329168","1982616960","84.47","144","13.0","10.84","275","97","13.0","10.84",
"1074910285","-259329600","1982615680","95.29","144","13.0","10.845","294","95","13.0","10.845",
"1074910286","-259330032","1982614656","106.2","144","13.0","10.995","336","96","13.0","10.995",
"1074910287","-259330464","1982613376","117.28","144","13.0","11.15","313","96","13.0","11.15",
"1074910288","-259330912","1982612224","128.5","145","13.0","11.282","302","96","13.0","11.282",
"1074910289","-259331376","1982610944","139.84","145","13.0","11.396","298","97","13.0","11.396",
"1074910290","-259331856","1982609664","151.3","146","13.0","11.5","294","96","13.0","11.5",
"1074910291","-259332304","1982608640","162.85","146","13.0","11.603","288","97","13.0","11.603",
"1074910292","-259332784","1982607360","174.49","147","13.0","11.686","285","96","13.0","11.686",
"1074910293","-259333248","1982606080","186.22","147","13.0","11.769","303","96","13.0","11.769",
"1074910294","-259333712","1982604800","198.02","148","13.0","11.846","278","96","13.0","11.846",
"1074910295","-259334192","1982603520","209.91","148","13.0","11.919","309","95","13.0","11.919",
"1074910296","-259334656","1982602240","221.86","149","13.0","11.938","242","95","13.0","11.938",
"1074910297","-259335136","1982600960","233.62","149","13.0","11.615","253","94","13.0","11.615",
"1074910298","-259335584","1982599680","245.1","150","13.0","11.35","235","94","13.0","11.35",
"1074910299","-259336032","1982598400","256.44","150","13.0","11.311","286","94","13.0","11.311",
"1074910300","-259336512","1982597248","267.74","150","13.0","11.329","266","92","13.0","11.329",
"1074910301","-259337040","1982595968","279.08","150","13.0","11.358","277","93","13.0","11.358",
"1074910302","-259337568","1982594944","290.47","150","13.0","11.406","286","93","13.0","11.406",
"1074910303","-259338080","1982593664","301.9","150","13.0","11.453","285","93","13.0","11.453",
"1074910304","-259338608","1982592512","313.35","150","13.0","11.433","285","93","13.0","11.433",
"1074910305","-259339136","1982591360","324.75","150","13.0","11.37","265","92","13.0","11.37",
"1074910306","-259339680","1982590208","336.1","150","13.0","11.33","278","93","13.0","11.33",
"1074910307","-259340208","1982588928","347.42","150","13.0","11.307","249","93","13.0","11.307",
"1074910308","-259340720","1982587776","358.72","150","13.0","11.318","279","93","13.0","11.318",
"1074910309","-259341248","1982586624","370.04","150","13.0","11.332","288","93","13.0","11.332",
"1074910310","-259341744","1982585472","381.39","150","13.0","11.347","266","92","13.0","11.347",
"1074910311","-259342256","1982584192","392.75","150","13.0","11.364","258","93","13.0","11.364",
"1074910312","-259342736","1982583168","404.12","150","13.0","11.374","266","93","13.0","11.374",
"1074910313","-259343232","1982581888","415.48","151","13.0","11.349","262","92","13.0","11.349",
"1074910314","-259343760","1982580736","426.82","151","13.0","11.322","257","92","13.0","11.322",
"1074910315","-259344272","1982579456","438.12","151","13.0","11.278","235","91","13.0","11.278",
"1074910316","-259344800","1982578432","449.38","151","13.0","11.229","240","92","13.0","11.229",
"1074910317","-259345296","1982577152","460.58","151","13.0","11.193","270","92","13.0","11.193",
"1074910318","-259345824","1982576000","471.77","151","13.0","11.176","265","92","13.0","11.176",
"1074910319","-259346160","1982574720","482.93","151","13.0","11.16","271","92","13.0","11.16",
"1074910320","-259346304","1982573440","494.09","151","13.0","11.147","269","91","13.0","11.147",
"1074910321","-259345936","1982572160","505.23","151","13.0","11.124","249","92","13.0","11.124",
"1074910322","-259345216","1982571264","516.33","151","13.0","11.092","250","92","13.0","11.092",
"1074910323","-259344320","1982570368","527.4","151","13.0","11.058","242","92","13.0","11.058",
"1074910324","-259343392","1982569600","538.45","151","13.0","11.03","257","92","13.0","11.03",
"1074910325","-259342464","1982568704","549.48","151","13.0","11.03","283","92","13.0","11.03",
"1074910326","-259341568","1982567936","560.53","151","13.0","11.062","276","91","13.0","11.062",
"1074910327","-259340688","1982567040","571.62","151","13.0","11.096","282","92","13.0","11.096",
"1074910328","-259339776","1982566400","582.73","151","13.0","11.121","292","92","13.0","11.121",
"1074910329","-259338880","1982565504","593.85","151","13.0","11.117","279","92","13.0","11.117",
"1074910330","-259337968","1982564480","604.95","151","13.0","11.06","263","92","13.0","11.06",
"1074910331","-259337104","1982563840","615.96","151","13.200000000000045","10.965","279","91","13.200000000000045","10.965",
"1074910332","-259336224","1982562944","626.86","150","13.200000000000045","10.854","259","91","13.200000000000045","10.854",
"1074910333","-259335328","1982562048","637.66","150","13.399999999999977","10.745","290","91","13.399999999999977","10.745",
"1074910334","-259334464","1982561280","648.34","151","13.600000000000023","10.62","255","91","13.600000000000023","10.62",
"1074910335","-259333632","1982560512","658.88","150","13.799999999999955","10.484","291","90","13.799999999999955","10.484",
"1074910336","-259332784","1982559616","669.32","150","14.0","10.384","296","89","14.0","10.384",
"1074910337","-259331968","1982558848","679.66","150","14.0","10.303","294","90","14.0","10.303",
"1074910338","-259331152","1982557952","689.93","150","14.200000000000045","10.274","305","89","14.200000000000045","10.274",
"1074910339","-259330320","1982557312","700.21","150","14.399999999999977","10.263","276","89","14.399999999999977","10.263",
"1074910340","-259329584","1982556288","710.41","150","14.799999999999955","10.136","282","89","14.799999999999955","10.136",
"1074910341","-259328992","1982555392","720.5","150","15.0","10.045","262","87","15.0","10.045",
"1074910342","-259328560","1982554368","730.5","150","15.200000000000045","9.962","305","87","15.200000000000045","9.962",
"1074910343","-259328352","1982553216","740.43","150","15.399999999999977","9.882","284","87","15.399999999999977","9.882",
"1074910344","-259328304","1982552192","750.25","149","15.600000000000023","9.761","275","87","15.600000000000023","9.761",
"1074910345","-259328240","1982551040","759.96","149","15.799999999999955","9.684","271","86","15.799999999999955","9.684",
"1074910346","-259328144","1982550016","769.63","149","16.0","9.63","280","85","16.0","9.63",
"1074910347","-259328080","1982548864","779.2","148","16.200000000000045","9.528","279","85","16.200000000000045","9.528",
"1074910348","-259327968","1982547840","788.71","148","16.399999999999977","9.506","296","85","16.399999999999977","9.506",
"1074910349","-259327888","1982546688","798.22","148","16.600000000000023","9.515","297","85","16.600000000000023","9.515",
"1074910350","-259327824","1982545664","807.74","148","16.799999999999955","9.514","286","85","16.799999999999955","9.514",
"1074910351","-259327728","1982544512","817.26","147","17.0","9.509","266","84","17.0","9.509",
"1074910352","-259327664","1982543360","826.75","147","17.200000000000045","9.497","279","85","17.200000000000045","9.497",
"1074910353","-259327600","1982542336","836.25","147","17.399999999999977","9.493","279","85","17.399999999999977","9.493",
"1074910354","-259327504","1982541184","845.61","147","17.600000000000023","9.488","270","84","17.600000000000023","9.488",
"1074910355","-259327408","1982540160","855.23","147","17.799999999999955","9.473","266","84","17.799999999999955","9.473",
"1074910356","-259327344","1982539008","864.69","147","18.0","9.453","292","83","18.0","9.453",
"1074910357","-259327248","1982537984","874.15","147","18.200000000000045","9.465","304","84","18.200000000000045","9.465",
"1074910358","-259327168","1982536832","883.61","147","18.399999999999977","9.466","304","84","18.399999999999977","9.466",
"1074910359","-259327072","1982535808","893.05","147","18.600000000000023","9.412","265","84","18.600000000000023","9.412",
"1074910360","-259326976","1982534656","902.46","146","18.799999999999955","9.402","275","84","18.799999999999955","9.402",
"1074910361","-259326896","1982533632","911.86","146","19.0","9.395","266","83","19.0","9.395",
"1074910362","-259326800","1982532480","921.11","146","19.200000000000045","9.365","273","83","19.200000000000045","9.365",
"1074910363","-259326576","1982531456","930.61","146","19.399999999999977","9.317","297","84","19.399999999999977","9.317",
"1074910364","-259326112","1982530432","939.86","146","19.600000000000023","9.219","296","84","19.600000000000023","9.219",
"1074910365","-259325248","1982530176","949.02","146","20.0","9.088","296","84","20.0","9.088",
"1074910366","-259324320","1982530304","958.11","145","20.0","9.15","284","82","20.0","9.15",
"1074910367","-259323456","1982530816","967.33","145","20.0","9.284","271","83","20.0","9.284",
"1074910368","-259322640","1982531456","976.69","145","20.0","9.421","262","84","20.0","9.421",
"1074910369","-259321792","1982532096","986.17","145","20.200000000000045","9.545","251","84","20.200000000000045","9.545",
"1074910370","-259320832","1982532480","995.78","145","20.200000000000045","9.657","260","84","20.200000000000045","9.657",
"1074910371","-259319936","1982531968","1005.45","145","20.399999999999977","9.654","280","84","20.399999999999977","9.654",
"1074910372","-259319472","1982531072","1015.09","145","20.600000000000023","9.626","280","84","20.600000000000023","9.626",
"1074910373","-259319248","1982529920","1024.72","145","20.799999999999955","9.636","289","85","20.799999999999955","9.636",
"1074910374","-259319088","1982528896","1034.34","145","21.0","9.611","272","85","21.0","9.611",
"1074910375","-259318928","1982527744","1043.94","145","21.200000000000045","9.587","271","85","21.200000000000045","9.587",
"1074910376","-259318816","1982526720","1053.52","145","21.399999999999977","9.559","271","83","21.399999999999977","9.559",
"1074910377","-259318560","1982525568","1063.06","145","21.600000000000023","9.511","278","84","21.600000000000023","9.511",
"1074910378","-259317840","1982524800","1072.51","145","22.0","9.384","293","83","22.0","9.384",
"1074910379","-259316880","1982524544","1081.87","145","22.200000000000045","9.356","261","83","22.200000000000045","9.356",
"1074910380","-259315872","1982524288","1091.22","145","22.399999999999977","9.345","262","83","22.399999999999977","9.345",
"1074910381","-259314944","1982523904","1100.56","145","22.600000000000023","9.36","318","82","22.600000000000023","9.36",
"1074910382","-259314240","1982523264","1109.95","145","22.799999999999955","9.4","311","83","22.799999999999955","9.4",
"1074910383","-259313968","1982522112","1119.37","146","22.799999999999955","9.442","301","83","22.799999999999955","9.442",
"1074910384","-259314032","1982521088","1128.83","146","23.0","9.46","288","83","23.0","9.46",
"1074910385","-259314192","1982519936","1138.27","146","23.200000000000045","9.419","275","83","23.200000000000045","9.419",
"1074910386","-259314352","1982519040","1147.66","146","23.399999999999977","9.354","260","82","23.399999999999977","9.354",
"1074910387","-259314496","1982517888","1156.98","147","23.600000000000023","9.276","249","83","23.600000000000023","9.276",
"1074910388","-259314624","1982516864","1166.22","147","23.600000000000023","9.225","276","83","23.600000000000023","9.225",
"1074910389","-259314736","1982515712","1175.44","147","23.799999999999955","9.202","252","83","23.799999999999955","9.202",
"1074910390","-259314400","1982514816","1184.57","147","24.200000000000045","9.049","252","83","24.200000000000045","9.049",
"1074910391","-259313536","1982514432","1193.55","147","24.399999999999977","8.909","261","82","24.399999999999977","8.909",
"1074910392","-259312608","1982514688","1202.44","147","24.600000000000023","8.887","243","82","24.600000000000023","8.887",
"1074910393","-259311744","1982515072","1211.37","147","24.600000000000023","9.032","285","82","24.600000000000023","9.032",
"1074910394","-259310864","1982515584","1220.59","147","24.399999999999977","9.397","278","83","24.399999999999977","9.397",
"1074910395","-259310000","1982516096","1230.17","147","24.200000000000045","9.766","259","83","24.200000000000045","9.766",
"1074910396","-259309120","1982516864","1240.14","148","24.0","10.15","254","84","24.0","10.15",
"1074910397","-259308208","1982517632","1250.42","148","23.600000000000023","10.402","227","84","23.600000000000023","10.402",
"1074910398","-259307328","1982518272","1260.99","148","23.200000000000045","10.726","202","86","23.200000000000045","10.726",
"1074910399","-259306416","1982519040","1271.92","148","22.799999999999955","11.135","252","87","22.799999999999955","11.135",
"1074910400","-259305456","1982519936","1283.28","148","22.399999999999977","11.566","259","87","22.399999999999977","11.566",
"1074910401","-259304368","1982520448","1295.05","148","22.0","11.953","254","88","22.0","11.953",
"1074910402","-259303104","1982520832","1307.16","148","21.799999999999955","12.246","262","88","21.799999999999955","12.246",
"1074910403","-259301904","1982520320","1319.53","148","21.399999999999977","12.503","271","90","21.399999999999977","12.503",
"1074910404","-259300992","1982519168","1332.19","148","21.0","12.81","282","90","21.0","12.81",
