record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1081887621","567664202","-628920686","0.0","0.429","50.60000000000002","68","23","68",,,
"1081887622","567663961","-628920491","0.0","0.886","50.60000000000002","67","23","67",,,
"1081887623","567663882","-628920301","0.0","0.886","50.60000000000002","66","22","66",,,
"1081887624","567663987","-628920343","0.0","0.541","50.60000000000002","66","22","66",,,
"1081887625","567663733","-628920576","0.0","0.606","50.60000000000002","65","22","65",,,
"1081887626","567663525","-628920583","1.8","1.176","50.60000000000002","65","22","65",,,
"1081887627","567663347","-628920557","3.42","1.4","51.0","65","22","65",,,
"1081887628","567663175","-628920554","5.31","1.614","50.799999999999955","65","22","65","15.35",,
"1081887629","567663029","-628920504","6.64","1.614","50.799999999999955","66","22","66","15.35",,
"1081887630","567662860","-628920254","8.78","1.913","50.60000000000002","66","22","66","15.35",,
"1081887631","567662857","-628919823","11.99","2.043","50.39999999999998","67","22","67","14.17",,
"1081887632","567663014","-628919487","14.64","2.351","50.200000000000045","68","22","68","14.17",,
"1081887633","567663185","-628919156","17.27","2.594","50.0","68","22","68","14.17",,
"1081887634","567663330","-628918728","20.27","2.678","50.0","70","22","70","14.17",,
"1081887635","567663550","-628918360","23.37","2.669","50.0","71","22","71","14.17",,
"1081887636","567663808","-628918084","26.39","2.706","50.0","72","22","72","14.17",,
"1081887637","567664052","-628917772","29.36","2.706","50.0","73","22","73","14.17",,
"1081887638","567664292","-628917394","32.72","3.004","50.0","75","22","75","14.17",,
"1081887639","567664513","-628916961","36.46","3.312","50.0","76","22","76","14.17",,
"1081887640","567664738","-628916488","40.02","3.919","50.0","77","22","77","14.17",,
"1081887641","567665012","-628915978","44.05","4.451","50.0","78","22","78","14.57",,
"1081887642","567665335","-628915349","49.13","5.02","50.0","78","22","78","14.57",,
"1081887643","567665640","-628914723","53.94","5.169","50.0","79","22","79","14.57",,
"1081887644","567665984","-628914097","59.06","5.169","50.0","80","22","80","14.57",,
"1081887645","567666217","-628913495","63.16","4.74","50.0","81","22","81","14.57",,
"1081887646","567666288","-628912782","67.45","4.553","50.0","81","22","81","14.43",,
"1081887647","567666070","-628912178","71.4","4.199","50.0","82","22","82","14.43",,
"1081887648","567665755","-628911783","75.3","3.378","50.0","83","22","83","14.43",,
"1081887649","567665572","-628911560","77.63","1.959","49.799999999999955","83","22","83","14.43",,
"1081887650","567665446","-628911469","78.74","0.998","49.799999999999955","84","22","84","14.74",,
"1081887651","567665347","-628911344","80.06","0.644","49.799999999999955","84","21","84","14.74",,
"1081887652","567665332","-628911230","80.78","0.523","49.60000000000002","85","21","85","14.74",,
"1081887653","567665315","-628911100","81.77","0.541","49.39999999999998","85","21","85","14.74",,
"1081887654","567665386","-628911005","82.6","0.718","49.200000000000045","85","21","85","14.74",,
"1081887655","567665458","-628910984","82.81","0.784","49.0","85","21","85","17.7",,
"1081887656","567665491","-628910917","83.08","0.718","48.799999999999955","84","21","84","17.7",,
"1081887657","567665464","-628910823","83.41","0.877","48.60000000000002","84","21","84","17.7",,
"1081887658","567665369","-628910755","84.29","0.821","48.39999999999998","84","21","84","17.7",,
"1081887659","567665183","-628910616","86.18","1.764","48.200000000000045","84","21","84","17.7",,
"1081887660","567665002","-628910268","88.39","2.948","48.0","84","21","84","16.92",,
"1081887661","567664833","-628909563","93.37","4.078","47.799999999999955","84","21","84","16.92",,
"1081887662","567664916","-628908884","97.41","4.824","47.60000000000002","84","21","84","16.92",,
"1081887663","567665213","-628908108","102.96","5.468","47.39999999999998","84","21","84","16.92",,
"1081887664","567665616","-628907337","109.03","6.121","47.39999999999998","85","21","85","16.92",,
