record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1081964622","0.0","85.0","64","23","64",,,,,,
"1081964623","0.0","85.0","63","23","63",,,,,,
"1081964624","0.0","85.0","63","23","63",,,,,,
"1081964625","0.0","85.0","62","23","62",,,,,,
"1081964626","0.0","85.0","62","23","62",,,,,,
"1081964627","0.0","85.0","62","23","62","9.45",,,,,
"1081964628","0.0","85.0","61","23","61","9.45",,,,,
"1081964629","0.0","85.0","61","23","61","9.45",,,,,
"1081964630","0.0","85.0","61","23","61","9.45",,,,,
"1081964631","0.0","85.0","62","23","62","9.45",,,,,
"1081964632","0.0","85.0","62","23","62","13.58",,,,,
"1081964633","0.0","85.0","63","23","63","13.58",,,,,
"1081964634","0.0","85.0","64","23","64","13.58",,,,,
"1081964635","0.0","85.0","65","23","65","13.58",,,,,
"1081964637","0.0","85.0","66","23","66","13.58",,,,,
"1081964638","0.0","85.0","67","23","67","13.39",,,,,
"1081964639","0.0","85.0","70","23","70","13.39","567666005","-628915878","4.675",,
"1081964640","4.45","81.20000000000005","73","23","73","13.39","567666202","-628915214","4.74",,
"1081964641","10.16","78.79999999999995","75","23","75","13.39","567666094","-628914255","4.815",,
"1081964642","14.87","76.20000000000005","76","23","76","13.39","567666375","-628913628","4.05",,
"1081964643","18.79","74.39999999999998","77","23","77","13.65","567666432","-628913019","3.704",,
"1081964644","21.28","72.79999999999995","77","23","77","13.65","567666344","-628912539","3.434",,
"1081964645","24.31","71.39999999999998","78","23","78","13.65","567666081","-628912163","2.939",,
"1081964646","27.41","69.79999999999995","78","23","78","13.65","567665833","-628911823","2.519",,
"1081964647","30.51","68.39999999999998","78","23","78","13.65","567665608","-628911544","2.081",,
"1081964648","31.99","67.39999999999998","78","23","78","13.82","567665509","-628911373","1.138",,
"1081964649","32.45","66.0","77","23","77","13.82","567665498","-628911298","0.271",,
"1081964650","32.59","64.60000000000002","77","23","77","13.82","567665501","-628911302","0.0",,
"1081964707","32.59","49.799999999999955","56","22","56","12.58","567665181","-628910944","2.454",,
"1081964708","36.26","49.799999999999955","56","22","56","13.5","567664900","-628910528","3.294",,
"1081964709","40.19","49.799999999999955","57","22","57","13.5","567664839","-628909893","4.068",,
"1081964710","45.29","49.60000000000002","57","22","57","13.5","567664985","-628909108","4.833",,
"1081964711","50.67","49.39999999999998","58","22","58","13.5","567665215","-628908321","5.253",,
"1081964712","56.29","49.200000000000045","59","22","59","13.5","567665574","-628907590","5.645",,
"1081964713","62.42","49.200000000000045","61","22","61","13.73","567666009","-628906860","6.037",,
"1081964714","68.71","49.0","64","22","64","13.73","567666447","-628906105","6.261",,
"1081964715","75.23","49.0","67","22","67","13.73","567666878","-628905296","6.494",,
"1081964716","82.16","49.0","69","22","69","13.73","567667317","-628904428","6.625",,
"1081964717","88.91","49.0","71","22","71","13.73","567667765","-628903572","6.755",,
"1081964718","96.13","48.799999999999955","73","22","73","13.87","567668237","-628902664","6.914",,
"1081964719","103.25","48.799999999999955","78","22","78","13.87","567668689","-628901753","7.035",,
"1081964720","110.31","48.799999999999955","81","22","81","13.87","567669110","-628900828","7.054",,
"1081964721","117.29","48.60000000000002","81","22","81","13.87","567669519","-628899903","7.017",,
"1081964722","124.34","48.60000000000002","85","22","85","13.87","567669973","-628899001","7.11",,
"1081964723","131.61","48.60000000000002","87","22","87","13.97","567670458","-628898098","7.166",,
"1081964724","138.81","48.60000000000002","88","22","88","13.97","567670941","-628897226","7.129",,
"1081964725","145.88","48.60000000000002","89","22","89","13.97","567671406","-628896343","7.091",,
"1081964726","152.33","48.799999999999955","90","22","90","13.97","567671860","-628895555","6.755",,
"1081964727","157.8","49.0","91","22","91","14.04","567672240","-628894867","5.626",,
"1081964728","162.36","49.0","91","22","91","14.04","567672522","-628894302","3.798",,
"1081964729","165.12","49.200000000000045","91","22","91","14.04","567672717","-628893962","2.594",,
"1081964730","167.5","49.200000000000045","91","22","91","14.04","567672839","-628893646","2.015",,
"1081964731","169.15","49.200000000000045","91","22","91","14.04","567672947","-628893422","2.137",,
"1081964732","171.45","49.200000000000045","91","22","91","14.04","567672905","-628893016","3.35",,
"1081964733","174.74","49.0","91","22","91","14.48","567672719","-628892503","4.479",,
"1081964734","179.91","49.0","91","22","91","14.48","567672296","-628891912","5.449",,
"1081964735","186.42","48.799999999999955","91","22","91","14.48","567671718","-628891315","6.559",,
"1081964736","193.77","48.60000000000002","91","22","91","14.48","567671101","-628890633","7.045",,
"1081964737","200.98","48.39999999999998","92","22","92","14.48","567670488","-628889908","7.437",,
"1081964738","208.88","48.200000000000045","93","22","93","14.37","567669849","-628889109","7.586",,
"1081964739","217.03","48.0","95","22","95","14.37","567669187","-628888311","7.782",,
"1081964740","225.05","47.60000000000002","96","22","96","14.37","567668498","-628887560","8.052",,
"1081964741","233.21","47.39999999999998","98","22","98","14.37","567667763","-628886874","8.239",,
"1081964742","241.25","47.200000000000045","100","22","100","14.37","567667009","-628886218","8.416",,
"1081964743","250.17","47.200000000000045","101","22","101","14.7","567666195","-628885560","8.64",,
