record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1082556424","0.0","96.0","56","23","56",,,,,
"1082556425","0.0","96.0","55","23","55",,,,,
"1082556426","0.0","96.0","54","23","54",,,,,
"1082556427","0.0","96.0","54","23","54",,,,,
"1082556428","0.0","96.0","54","23","54",,,,,
"1082556429","0.0","96.0","53","23","53","11.81",,,,
"1082556430","0.0","96.0","54","23","54","11.81",,,,
"1082556431","0.0","96.0","54","23","54","11.81",,,,
"1082556432","0.0","96.0","55","23","55","11.81",,,,
"1082556433","0.0","96.0","56","23","56","11.81",,,,
"1082556434","0.0","96.0","57","23","57","12.4",,,,
"1082556435","0.0","96.0","57","23","57","12.4",,,,
"1082556436","0.0","96.0","57","23","57","12.4",,,,
"1082556437","0.0","96.0","57","23","0","12.4",,,,
"1082556438","0.0","96.0","57","23","0","12.4",,,,
"1082556439","0.0","96.0","57","23","0","12.4",,,,
"1082556440","0.0","96.0","57","23","0","12.4",,,,
"1082556441","0.0","96.0","57","23","0","12.4",,,,
"1082556442","0.0","96.0","57","23","0","12.4",,,,
"1082556443","0.0","96.0","57","23","0","12.4",,,,
"1082556444","0.0","96.0","65","23","65","12.2",,,,
"1082556445","0.0","96.0","66","23","66","12.2",,,,
"1082556446","0.0","96.0","67","23","67","12.2",,,,
"1082556447","0.0","96.0","67","23","67","12.2",,,,
"1082556448","0.0","96.0","68","23","68","14.5",,,,
"1082556449","0.0","96.0","68","23","0","14.5",,,,
"1082556450","0.0","96.0","68","23","0","14.5",,,,
"1082556451","0.0","96.0","68","23","0","14.5",,,,
"1082556452","0.0","96.0","68","23","0","14.5",,,,
"1082556453","0.0","96.0","68","23","0","14.5",,,,
"1082556454","0.0","96.0","68","23","0","14.5",,,,
"1082556455","0.0","96.0","68","23","0","14.5",,,,
"1082556456","0.0","96.0","68","23","0","14.5",,,,
"1082556457","0.0","96.0","72","23","0","14.5",,,,
"1082556458","0.0","96.0","72","23","0","14.5",,,,
"1082556459","0.0","96.0","71","23","0","14.5",,,,
"1082556460","0.0","96.0","71","22","0","14.5",,,,
"1082556461","0.0","96.0","71","22","0","14.5",,,,
"1082556462","0.0","96.0","71","22","0","14.5",,,,
