record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.heart_rate[bpm],record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1082999700","0.0","45.39999999999998","23","0",,,,,,,
"1082999701","0.0","45.39999999999998","23","64","64",,,,,,
"1082999702","0.0","45.39999999999998","23","63","63",,,,,,
"1082999703","0.0","45.39999999999998","23","63","63",,,,,,
"1082999704","0.0","45.39999999999998","23","63","63",,,,,,
"1082999705","0.0","45.200000000000045","23","62","62","10.63",,,,,
"1082999706","0.0","45.200000000000045","23","62","62","10.63",,,,,
"1082999707","0.0","45.200000000000045","23","62","62","10.63",,,,,
"1082999708","0.0","45.200000000000045","23","62","62","10.63",,,,,
"1082999709","0.0","45.39999999999998","23","62","62","10.63",,,,,
"1082999710","0.0","45.60000000000002","23","63","63","11.81",,,,,
"1082999711","0.0","45.60000000000002","23","63","63","11.81",,,,,
"1082999712","0.0","45.60000000000002","23","65","65","11.81",,,,,
"1082999713","0.0","45.799999999999955","23","66","66","11.81",,,,,
"1082999714","0.0","46.0","23","67","67","11.81",,,,,
"1082999715","0.0","46.0","23","69","69","11.81",,,,,
"1082999716","0.0","46.200000000000045","23","72","72","12.2",,,,,
"1082999717","0.0","46.200000000000045","23","73","73","12.2",,,,,
"1082999718","0.0","46.200000000000045","22","75","75","12.2",,,,,
"1082999719","0.0","46.200000000000045","22","76","76","12.2",,,,,
"1082999720","0.0","46.200000000000045","22","77","77","12.86",,,,,
"1082999721","0.0","46.0","22","78","78","12.86",,,,,
"1082999722","0.0","46.0","22","78","78","12.86",,,,,
"1082999723","0.0","46.0","22","79","79","12.86",,,,,
"1082999727","0.0","45.200000000000045","22","79","79","12.86","567666386","-628912440","2.893",,
"1082999728","2.14","45.200000000000045","22","79","79","12.86","567666276","-628912151","2.277",,
"1082999729","5.34","46.200000000000045","22","78","78","12.9","567665964","-628911919","1.978",,
"1082999730","5.57","46.0","22","77","77","12.9","567666017","-628911812","1.465",,
"1082999731","6.18","45.60000000000002","22","76","76","12.9","567666079","-628911661","1.213",,
"1082999732","8.6","45.39999999999998","22","76","76","12.9","567665914","-628911325","0.98",,
"1082999733","10.41","45.200000000000045","22","75","75","12.9","567665739","-628911258","1.101",,
"1082999734","11.88","45.0","22","73","73","12.93","567665616","-628911174","1.11",,
"1082999735","12.21","45.0","22","72","72","12.93","567665618","-628911094","0.718",,
"1082999736","12.48","44.799999999999955","22","71","71","12.93","567665612","-628911064","0.215",,
"1082999737","12.48","44.799999999999955","22","71","71","12.93","567665626","-628911048","0.0",,
"1082999765","12.48","45.0","21","62","62","13.61","567664885","-628910460","3.919",,
"1082999766","17.21","45.0","21","62","62","13.61","567664708","-628909757","4.46",,
"1082999767","21.55","44.799999999999955","21","63","63","13.61","567664870","-628909091","4.6",,
"1082999768","26.29","44.799999999999955","21","64","64","13.01","567665169","-628908471","4.871",,
"1082999769","31.75","44.799999999999955","21","65","65","13.01","567665468","-628907727","5.402",,
"1082999770","37.48","44.799999999999955","21","66","66","13.01","567665800","-628906959","5.701",,
"1082999771","43.38","44.799999999999955","21","69","69","13.01","567666141","-628906186","5.608",,
"1082999772","48.78","44.799999999999955","21","71","71","13.01","567666452","-628905460","5.552",,
"1082999773","54.22","44.60000000000002","21","72","72","13.0","567666775","-628904745","5.468",,
"1082999774","59.88","44.39999999999998","21","76","76","13.0","567667112","-628903977","5.888",,
"1082999775","66.23","44.39999999999998","21","77","77","13.0","567667527","-628903170","6.289",,
"1082999776","72.9","44.200000000000045","21","81","81","13.0","567667947","-628902319","6.466",,
"1082999777","79.57","44.200000000000045","21","82","82","13.0","567668381","-628901482","6.597",,
"1082999778","86.36","44.0","21","85","85","13.39","567668814","-628900616","6.737",,
"1082999779","93.19","43.799999999999955","21","88","88","13.39","567669297","-628899798","6.895",,
"1082999780","100.37","43.799999999999955","21","89","89","13.39","567669786","-628898942","6.895",,
"1082999781","106.96","43.799999999999955","21","91","91","13.39","567670230","-628898142","6.746",,
"1082999782","113.21","43.799999999999955","21","92","92","13.39","567670644","-628897338","6.587",,
"1082999783","119.54","43.799999999999955","21","93","93","14.05","567671061","-628896550","6.112",,
"1082999784","125.46","43.799999999999955","21","93","93","14.05","567671440","-628895801","5.598",,
