record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],record.enhanced_respiration_rate[Breaths/min],
"1084477266","0.0","188.20000000000005","75","23","75",,,,,,
"1084477267","0.0","190.39999999999998","75","23","75",,,,,,
"1084477268","0.0","190.60000000000002","75","22","75","567663637","-628912639","3.256",,,
"1084477269","0.0","190.60000000000002","75","22","75","567663637","-628912639","3.256",,,
"1084477270","0.0","190.60000000000002","75","22","75","567663868","-628913937","2.566",,,
"1084477271","0.0","191.0","75","22","75","567664375","-628913994","3.191","18.9",,
"1084477272","3.98","191.60000000000002","75","22","75","567664705","-628913572","3.555","18.9",,
"1084477273","7.63","192.0","75","22","75","567664993","-628913108","4.059","18.9",,
"1084477274","10.39","192.60000000000002","75","22","75","567665347","-628912931","3.611","18.9",,
"1084477275","13.95","192.60000000000002","75","22","75","567665296","-628912179","3.508","18.9",,
"1084477276","17.43","192.60000000000002","75","22","75","567665206","-628911557","3.564","18.31",,
"1084477277","20.18","192.60000000000002","75","22","75","567665024","-628911099","3.079","18.31",,
"1084477278","24.03","192.60000000000002","75","22","75","567664815","-628910713","2.473","18.31",,
"1084477279","27.17","192.39999999999998","74","22","74","567664530","-628910273","2.743","18.31",,
"1084477280","31.24","192.20000000000005","74","22","74","567664283","-628909815","3.126","18.31",,
"1084477281","35.51","192.20000000000005","74","22","74","567664205","-628909163","4.087","19.29",,
"1084477282","40.49","192.0","75","22","75","567664317","-628908406","5.085","19.29",,
"1084477283","46.22","191.79999999999995","75","22","75","567664483","-628907557","5.524","19.29",,
"1084477284","52.34","191.79999999999995","75","22","75","567664778","-628906738","5.748","19.29",,
"1084477285","58.5","191.79999999999995","76","22","76","567665163","-628905968","6.0","19.29",,
"1084477286","64.79","191.60000000000002","77","22","77","567665557","-628905145","6.28","18.76",,
"1084477287","71.21","191.60000000000002","78","22","78","567666053","-628904406","6.466","18.76",,
