record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1084815805","0.0","130.39999999999998","22","0",,,,
"1084815806","10.74","130.39999999999998","22","1","567667826","-628916355","2.631",
"1084815807","14.41","130.39999999999998","22","1","567667917","-628915590","3.266",
"1084815808","17.78","130.39999999999998","22","1","567667996","-628914907","3.256",
"1084815809","22.79","130.39999999999998","22","1","567668078","-628914204","3.098",
"1084815810","27.57","130.39999999999998","22","1","567668232","-628913671","2.734",
"1084815811","30.82","130.39999999999998","22","1","567668482","-628913288","2.781",
"1084815812","34.57","130.39999999999998","22","1","567668657","-628912702","3.247",
"1084815813","38.6","130.39999999999998","22","1","567668872","-628912154","3.602",
"1084815814","42.53","130.20000000000005","22","1","567669038","-628911566","3.704",
"1084815815","46.22","130.20000000000005","22","1","567668987","-628911069","3.135",
"1084815816","49.47","130.20000000000005","22","1","567668809","-628910657","2.65",
"1084815817","52.43","130.20000000000005","22","1","567668535","-628910315","2.753",
"1084815818","54.38","130.0","22","1","567668481","-628910022","1.241",
"1084815819","55.04","130.0","22","1","567668395","-628909951","0.69",
"1084815820","55.43","129.79999999999995","22","1","567668221","-628909905","0.625",
"1084815821","55.73","129.60000000000002","22","1","567668153","-628909854","0.541",
"1084815822","55.83","129.39999999999998","22","1","567668146","-628909809","0.0",
"1084815823","55.83","129.20000000000005","22","0","567668247","-628910017","0.224",
"1084815863","55.83","125.79999999999995","22","1","567666550","-628910746","2.613",
"1084815864","59.92","125.79999999999995","22","1","567665143","-628910484","3.882",
"1084815865","64.85","125.79999999999995","22","1","567664933","-628909769","4.628",
"1084815866","69.63","125.20000000000005","22","1","567664910","-628908987","4.936",
"1084815867","69.63","125.0","22","1","567665065","-628908295","4.936",
"1084815868","79.04","124.39999999999998","22","1","567665327","-628907604","5.02",
"1084815869","84.39","124.0","22","1","567665643","-628906890","5.486",
"1084815870","89.96","123.39999999999998","22","1","567665989","-628906172","5.738",
"1084815871","95.87","123.0","22","1","567666352","-628905411","5.962",
"1084815872","101.6","123.0","22","1","567666704","-628904642","6.018",
"1084815873","107.82","122.60000000000002","22","1","567667089","-628903831","6.112",
"1084815874","114.08","122.20000000000005","22","1","567667488","-628903027","6.121",
"1084815875","120.49","121.20000000000005","22","1","567667885","-628902202","6.158",
"1084815876","127.06","121.20000000000005","22","1","567668298","-628901373","6.233",
"1084815877","133.59","120.79999999999995","22","1","567668712","-628900580","6.289",
