Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Data,0,record,timestamp,"1089216838",s,distance,"0.0",m,enhanced_altitude,"306.20000000000005",m,temperature,"34",C,unknown,"0",,
Data,1,record,timestamp,"1089216839",s,position_lat,"521806454",semicircles,position_long,"-947983839",semicircles,distance,"0.0",m,enhanced_speed,"1.782",m/s,enhanced_altitude,"306.20000000000005",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216840",s,position_lat,"521806515",semicircles,position_long,"-947984236",semicircles,distance,"0.51",m,enhanced_speed,"1.316",m/s,enhanced_altitude,"306.20000000000005",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216841",s,position_lat,"521806627",semicircles,position_long,"-947983922",semicircles,distance,"0.84",m,enhanced_speed,"0.821",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216842",s,position_lat,"521806332",semicircles,position_long,"-947983510",semicircles,distance,"0.84",m,enhanced_speed,"0.448",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216843",s,position_lat,"521806949",semicircles,position_long,"-947983657",semicircles,distance,"6.96",m,enhanced_speed,"0.513",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216844",s,position_lat,"521807055",semicircles,position_long,"-947983749",semicircles,distance,"6.96",m,enhanced_speed,"0.513",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"0",,
Data,1,record,timestamp,"1089216845",s,position_lat,"521806671",semicircles,position_long,"-947983455",semicircles,distance,"6.96",m,enhanced_speed,"0.495",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216846",s,position_lat,"521806704",semicircles,position_long,"-947983392",semicircles,distance,"7.04",m,enhanced_speed,"0.429",m/s,enhanced_altitude,"308.0",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216847",s,position_lat,"521806710",semicircles,position_long,"-947983451",semicircles,distance,"7.38",m,enhanced_speed,"0.579",m/s,enhanced_altitude,"308.20000000000005",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216848",s,position_lat,"521806703",semicircles,position_long,"-947983470",semicircles,distance,"7.53",m,enhanced_speed,"0.523",m/s,enhanced_altitude,"308.20000000000005",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216849",s,position_lat,"521806700",semicircles,position_long,"-947983482",semicircles,distance,"7.54",m,enhanced_speed,"0.485",m/s,enhanced_altitude,"308.20000000000005",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216850",s,position_lat,"521806699",semicircles,position_long,"-947983508",semicircles,distance,"7.68",m,enhanced_speed,"0.476",m/s,enhanced_altitude,"308.20000000000005",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216851",s,position_lat,"521806700",semicircles,position_long,"-947983513",semicircles,distance,"7.68",m,enhanced_speed,"0.523",m/s,enhanced_altitude,"308.0",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216852",s,position_lat,"521806685",semicircles,position_long,"-947983521",semicircles,distance,"7.76",m,enhanced_speed,"0.504",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216853",s,position_lat,"521806673",semicircles,position_long,"-947983496",semicircles,distance,"7.76",m,enhanced_speed,"0.485",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216854",s,position_lat,"521806695",semicircles,position_long,"-947983506",semicircles,distance,"8.08",m,enhanced_speed,"0.448",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216855",s,position_lat,"521806741",semicircles,position_long,"-947983513",semicircles,distance,"8.22",m,enhanced_speed,"0.662",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216856",s,position_lat,"521806743",semicircles,position_long,"-947983476",semicircles,distance,"8.22",m,enhanced_speed,"0.355",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"1",,
Data,1,record,timestamp,"1089216857",s,position_lat,"521806797",semicircles,position_long,"-947983482",semicircles,distance,"8.4",m,enhanced_speed,"0.0",m/s,enhanced_altitude,"307.6",m,temperature,"34",C,unknown,"0",,
Data,1,record,timestamp,"1089216955",s,position_lat,"521807187",semicircles,position_long,"-947984092",semicircles,distance,"8.4",m,enhanced_speed,"3.956",m/s,enhanced_altitude,"307.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216956",s,position_lat,"521807655",semicircles,position_long,"-947984597",semicircles,distance,"13.89",m,enhanced_speed,"5.617",m/s,enhanced_altitude,"307.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216957",s,position_lat,"521808236",semicircles,position_long,"-947985283",semicircles,distance,"20.9",m,enhanced_speed,"7.147",m/s,enhanced_altitude,"307.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216958",s,position_lat,"521808893",semicircles,position_long,"-947986049",semicircles,distance,"29.05",m,enhanced_speed,"7.866",m/s,enhanced_altitude,"307.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216959",s,position_lat,"521809606",semicircles,position_long,"-947986854",semicircles,distance,"37.7",m,enhanced_speed,"8.528",m/s,enhanced_altitude,"307.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216960",s,position_lat,"521810380",semicircles,position_long,"-947987688",semicircles,distance,"46.83",m,enhanced_speed,"9.144",m/s,enhanced_altitude,"308.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216961",s,position_lat,"521811218",semicircles,position_long,"-947988583",semicircles,distance,"56.65",m,enhanced_speed,"9.797",m/s,enhanced_altitude,"308.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216962",s,position_lat,"521812085",semicircles,position_long,"-947989590",semicircles,distance,"67.23",m,enhanced_speed,"10.385",m/s,enhanced_altitude,"308.4",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216963",s,position_lat,"521812931",semicircles,position_long,"-947990656",semicircles,distance,"77.91",m,enhanced_speed,"10.637",m/s,enhanced_altitude,"309.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216964",s,position_lat,"521813774",semicircles,position_long,"-947991757",semicircles,distance,"88.75",m,enhanced_speed,"10.665",m/s,enhanced_altitude,"310.79999999999995",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216965",s,position_lat,"521814641",semicircles,position_long,"-947992810",semicircles,distance,"99.57",m,enhanced_speed,"10.562",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216966",s,position_lat,"521815563",semicircles,position_long,"-947993809",semicircles,distance,"110.59",m,enhanced_speed,"10.796",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216967",s,position_lat,"521816466",semicircles,position_long,"-947994834",semicircles,distance,"121.46",m,enhanced_speed,"11.085",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216968",s,position_lat,"521817416",semicircles,position_long,"-947995818",semicircles,distance,"132.45",m,enhanced_speed,"11.271",m/s,enhanced_altitude,"311.0",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216969",s,position_lat,"521818394",semicircles,position_long,"-947996860",semicircles,distance,"143.97",m,enhanced_speed,"11.533",m/s,enhanced_altitude,"310.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216970",s,position_lat,"521819364",semicircles,position_long,"-947997948",semicircles,distance,"155.6",m,enhanced_speed,"11.775",m/s,enhanced_altitude,"310.6",m,temperature,"35",C,unknown,"1",,
Data,1,record,timestamp,"1089216971",s,position_lat,"521820357",semicircles,position_long,"-947999140",semicircles,distance,"167.8",m,enhanced_speed,"12.195",m/s,enhanced_altitude,"310.6",m,temperature,"35",C,unknown,"1",,
