record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.heart_rate[bpm],record.enhanced_respiration_rate[Breaths/min],
"1089577904","546542778","-950855654","0.0","0.588","311.0","28","0",,,
"1089577905","546542968","-950855381","0.07","0.0","311.0","28","1",,,
"1089577906","546543052","-950855392","0.93","0.0","311.0","28","0",,,
"1089577924","546542503","-950854096","0.93","1.717","310.79999999999995","29","1",,,
"1089577925","546542659","-950853925","2.37","1.959","311.0","28","1",,,
"1089577926","546542891","-950853833","3.84","2.193","311.0","29","1","69",,
"1089577927","546543034","-950853783","6.01","0.849","311.20000000000005","29","1","70",,
"1089577928","546543203","-950853593","8.03","1.67","311.20000000000005","29","1","71",,
"1089577929","546543328","-950853384","9.61","1.997","311.4","29","1","73",,
"1089577930","546543457","-950853183","11.39","1.959","311.4","29","1","75",,
"1089577931","546543579","-950852955","13.25","1.931","311.6","29","1","77",,
"1089577932","546543706","-950852722","15.08","2.034","311.6","29","1","78",,
"1089577933","546543819","-950852413","17.44","2.146","311.79999999999995","29","1","80","16.49",
"1089577934","546543882","-950852157","19.23","1.819","311.79999999999995","29","1","81","16.49",
"1089577935","546543967","-950851847","21.59","1.987","312.20000000000005","29","1","83","16.49",
"1089577936","546544048","-950851633","22.89","2.09","312.6","29","1","84","16.49",
"1089577937","546544112","-950851392","23.85","2.23","312.79999999999995","29","1","84","16.49",
"1089577938","546544166","-950851094","25.64","2.435","313.0","29","1","86","19.09",
"1089577939","546544114","-950850789","27.7","2.594","313.0","29","1","87","19.09",
"1089577940","546544067","-950850517","29.25","2.221","313.20000000000005","29","1","87","19.09",
"1089577941","546543988","-950850247","30.73","2.015","313.4","29","1","88","19.09",
"1089577942","546543921","-950849956","32.66","1.642","313.4","29","1","88","19.09",
"1089577943","546543853","-950849601","34.76","1.875","313.6","29","1","89","19.02",
"1089577944","546543765","-950849183","37.31","2.137","313.79999999999995","29","1","90","19.02",
"1089577945","546543623","-950848671","41.23","2.053","314.0","29","1","90","19.02",
"1089577946","546543491","-950848261","44.01","2.258","314.4","29","1","91","19.02",
"1089577947","546543371","-950847898","46.83","2.043","314.79999999999995","29","1","92","19.02",
"1089577948","546543244","-950847509","49.85","2.473","315.20000000000005","29","1","93","20.55",
"1089577949","546543076","-950847089","52.9","2.762","315.4","29","1","94","20.55",
"1089577950","546542894","-950846705","55.85","2.706","315.79999999999995","29","1","95","20.55",
"1089577951","546542679","-950846311","59.04","2.79","315.79999999999995","29","1","96","20.55",
"1089577952","546542413","-950845860","62.72","3.331","316.0","29","1","97","20.55",
"1089577953","546542159","-950845348","66.86","3.564","316.20000000000005","29","1","99","20.0",
"1089577954","546541861","-950844805","71.34","3.9","316.4","29","1","99","20.0",
"1089577955","546541580","-950844250","75.64","3.91","316.6","29","1","101","20.0",
"1089577956","546541275","-950843710","80.32","3.648","316.6","29","1","102","20.0",
"1089577957","546540987","-950843220","84.54","3.387","316.79999999999995","29","1","104","20.0",
"1089577958","546540743","-950842778","88.13","2.976","316.79999999999995","29","1","105","21.21",
"1089577959","546540520","-950842318","91.93","2.697","316.79999999999995","29","1","106","21.21",
"1089577960","546540297","-950841892","95.54","2.725","316.79999999999995","29","1","107","21.21",
"1089577961","546540144","-950841482","98.49","2.51","317.0","29","1","109","21.21",
"1089577962","546539939","-950841050","102.05","2.762","317.20000000000005","29","1","110","21.21",
"1089577963","546539745","-950840618","105.48","2.93","317.4","29","1","111","21.21",
"1089577964","546539561","-950840236","108.33","3.07","317.6","28","1","112","21.22",
"1089577965","546539312","-950839839","111.93","2.874","317.79999999999995","29","1","113","21.22",
"1089577966","546539103","-950839448","114.96","2.669","318.0","28","1","114","21.22",
"1089577967","546538916","-950839022","117.74","2.501","318.0","28","1","115","21.22",
"1089577968","546538716","-950838560","121.68","2.174","318.4","28","1","115","21.22",
"1089577969","546538519","-950838121","125.6","2.482","318.4","28","1","115","20.45",
"1089577970","546538367","-950837726","128.24","2.669","318.6","28","1","116","20.45",
"1089577971","546538178","-950837315","131.2","2.809","318.79999999999995","28","1","116","20.45",
"1089577972","546538077","-950836829","134.03","2.753","319.0","28","1","116","20.45",
"1089577973","546537928","-950836309","137.07","2.958","319.20000000000005","28","1","117","21.5",
"1089577974","546537751","-950835623","141.98","3.359","319.4","28","1","117","21.5",
"1089577975","546537629","-950834997","145.91","3.294","319.4","28","1","117","21.5",
"1089577976","546537506","-950834343","150.12","3.135","319.4","28","1","117","21.5",
"1089577977","546537350","-950833591","155.7","3.06","319.4","28","1","117","21.5",
"1089577978","546537361","-950832950","159.24","3.387","319.6","28","1","117","22.21",
"1089577979","546537405","-950832318","163.21","3.508","319.6","28","1","117","22.21",
"1089577980","546537417","-950831602","167.96","3.574","319.6","28","1","117","22.21",
"1089577981","546537537","-950830917","171.99","3.714","319.6","28","1","117","22.21",
"1089577982","546537648","-950830224","176.97","3.574","319.6","28","1","117","22.21",
"1089577983","546537765","-950829532","181.78","3.648","319.6","28","1","118","21.89",
"1089577984","546537931","-950828753","187.07","3.872","319.79999999999995","28","1","118","21.89",
"1089577985","546538114","-950828018","192.11","3.788","319.79999999999995","28","1","118","21.89",
"1089577986","546538314","-950827286","197.02","3.76","319.79999999999995","28","1","118","21.89",
"1089577987","546538532","-950826620","201.48","3.658","319.79999999999995","28","1","118","21.89",
"1089577988","546538800","-950825867","206.65","3.546","319.79999999999995","28","1","118","22.47",
"1089577989","546539117","-950825169","212.4","3.406","320.0","28","1","118","22.47",
"1089577990","546539407","-950824600","217.36","3.07","320.20000000000005","28","1","118","22.47",
"1089577991","546539653","-950824059","222.06","2.743","320.4","28","1","118","22.47",
"1089577992","546539913","-950823632","225.45","2.529","320.4","28","1","118","22.47",
"1089577993","546540191","-950823229","229.65","2.239","320.6","28","1","118","21.67",
"1089577994","546540409","-950822867","232.99","2.015","320.79999999999995","28","1","118","21.67",
"1089577995","546540601","-950822472","236.55","2.071","321.0","28","1","119","21.67",
"1089577996","546540804","-950822166","239.36","2.034","321.20000000000005","28","1","119","21.67",
"1089577997","546540985","-950821868","241.9","1.987","321.4","28","1","119","21.67",
"1089577998","546541184","-950821561","244.81","2.015","321.6","28","1","119","21.67",
"1089577999","546541327","-950821225","247.71","2.081","322.0","28","1","119","21.93",
"1089578000","546541470","-950820905","249.86","2.165","322.20000000000005","28","1","119","21.93",
"1089578001","546541631","-950820554","252.5","2.267","322.4","28","1","119","21.93",
"1089578002","546541779","-950820226","254.73","2.099","322.79999999999995","28","1","119","21.93",
"1089578003","546541962","-950819838","257.82","2.258","323.0","28","1","119","21.93",
"1089578004","546542186","-950819437","260.9","2.501","323.20000000000005","28","1","120","21.31",
"1089578005","546542443","-950818996","264.62","2.911","323.4","28","1","120","21.31",
"1089578006","546542679","-950818569","268.02","2.837","323.6","28","1","120","21.31",
"1089578007","546542954","-950818123","271.82","2.958","323.79999999999995","28","1","120","21.31",
"1089578008","546543199","-950817661","275.64","2.93","324.0","28","1","120","21.69",
"1089578009","546543489","-950817169","279.18","3.172","324.0","28","1","120","21.69",
"1089578010","546543796","-950816682","283.37","3.098","324.20000000000005","28","1","120","21.69",
"1089578011","546544119","-950816125","288.12","3.415","324.20000000000005","28","1","120","21.69",
"1089578012","546544444","-950815536","292.57","3.62","324.20000000000005","28","1","120","21.69",
"1089578013","546544849","-950814857","297.87","4.227","324.20000000000005","28","1","119","21.94",
"1089578014","546545289","-950814073","303.6","4.768","324.20000000000005","28","1","119","21.94",
"1089578015","546545649","-950813189","309.76","5.3","324.20000000000005","28","1","119","21.94",
"1089578016","546546090","-950812059","318.47","6.466","324.0","28","1","118","21.94",
"1089578017","546546301","-950811107","324.54","6.531","324.0","28","1","118","21.94",
"1089578018","546546479","-950809874","333.38","6.746","323.79999999999995","28","1","117","21.71",
"1089578019","546546514","-950808693","340.73","7.259","323.4","28","1","117","21.71",
"1089578020","546546559","-950807408","349.4","7.521","323.0","28","1","116","21.71",
"1089578021","546546706","-950806086","358.37","7.679","322.79999999999995","28","1","115","21.71",
"1089578022","546547040","-950804707","367.48","8.108","322.20000000000005","28","1","114","21.71",
"1089578023","546547658","-950803322","377.95","8.706","321.4","28","1","114","21.56",
"1089578024","546548454","-950801918","390.16","9.219","320.79999999999995","28","1","113","21.56",
"1089578025","546549270","-950800520","402.51","9.975","320.0","28","1","112","21.56",
"1089578026","546550080","-950799186","414.45","10.189","319.4","28","1","111","21.56",
"1089578027","546550827","-950797869","425.8","10.152","318.79999999999995","28","1","110","21.56",
"1089578028","546551589","-950796632","436.75","9.928","318.0","28","1","108","21.46",
"1089578029","546552315","-950795435","447.05","9.48","317.20000000000005","28","1","108","21.46",
"1089578030","546553046","-950794230","457.84","9.293","316.4","28","1","106","21.46",
"1089578031","546553733","-950793053","467.89","9.107","316.4","28","1","105","21.46",
"1089578032","546554447","-950791892","477.89","9.135","316.20000000000005","28","1","104","21.46",
"1089578033","546555139","-950790862","487.21","8.594","315.79999999999995","28","1","103","21.0",
"1089578034","546555896","-950789793","496.94","8.64","315.6","28","1","103","21.0",
"1089578035","546556631","-950788848","506.31","8.463","315.4","28","1","102","21.0",
"1089578036","546557394","-950788011","515.39","8.146","315.20000000000005","28","1","101","21.0",
"1089578037","546558162","-950787184","524.14","7.987","315.20000000000005","28","1","101","21.0",
"1089578038","546558839","-950786466","531.94","6.989","315.0","28","1","101","21.0",
"1089578039","546559543","-950785787","540.02","6.681","314.79999999999995","28","1","100","20.3",
"1089578040","546560184","-950785162","547.42","6.345","314.79999999999995","28","1","99","20.3",
"1089578041","546560777","-950784689","553.91","5.832","314.79999999999995","28","1","99","20.3",
"1089578042","546561320","-950784269","559.73","5.141","314.79999999999995","28","1","98","20.3",
"1089578043","546561923","-950783698","566.19","5.813","314.79999999999995","28","1","98","20.3",
"1089578044","546562494","-950783163","572.45","5.71","315.0","28","1","97","19.83",
"1089578045","546563039","-950782626","578.29","5.421","315.20000000000005","28","1","97","19.83",
"1089578046","546563601","-950781993","584.46","5.542","315.4","28","1","97","19.83",
"1089578047","546564237","-950781315","591.12","6.018","315.4","28","1","97","19.83",
"1089578048","546564937","-950780601","598.51","6.196","315.4","28","1","97","19.83",
"1089578049","546565688","-950779837","606.25","6.634","315.4","28","1","98","21.49",
"1089578050","546566374","-950779160","613.74","6.634","315.4","28","1","99","21.49",
"1089578051","546567192","-950778401","622.93","6.877","315.4","28","1","100","21.49",
"1089578052","546567978","-950777648","632.22","6.774","315.20000000000005","28","1","101","21.49",
"1089578053","546568688","-950776925","640.81","6.27","315.20000000000005","28","1","101","21.02",
"1089578054","546569317","-950776136","648.88","6.093","315.0","28","1","102","21.02",
"1089578055","546569872","-950775157","656.95","6.466","315.0","28","1","102","21.02",
"1089578056","546570302","-950774056","664.97","6.821","315.0","28","1","102","21.02",
"1089578057","546570533","-950772953","673.18","6.625","314.79999999999995","28","1","102","21.02",
"1089578058","546570765","-950771844","680.92","6.662","314.79999999999995","28","1","102","21.02",
"1089578059","546570928","-950770802","687.89","6.382","314.6","28","1","101","20.7",
"1089578060","546571067","-950769716","694.46","6.205","314.6","28","1","101","20.7",
"1089578061","546571241","-950768573","701.56","6.093","314.4","28","1","100","20.7",
"1089578062","546571464","-950767313","709.9","6.149","314.4","28","1","100","20.7",
"1089578063","546571769","-950766106","719.25","5.524","314.4","28","1","100","22.46",
"1089578064","546572044","-950765117","726.93","5.291","314.4","28","1","100","22.46",
"1089578065","546572283","-950764278","732.91","4.88","314.4","28","1","100","22.46",
"1089578066","546572527","-950763403","739.24","4.964","314.4","28","1","100","22.46",
"1089578067","546572837","-950762591","745.21","5.169","314.4","28","1","100","22.46",
"1089578068","546573122","-950761817","750.85","5.001","314.79999999999995","28","1","101","22.85",
"1089578069","546573439","-950761057","756.43","4.852","315.0","28","1","101","22.85",
"1089578070","546573784","-950760253","762.54","4.917","315.20000000000005","28","1","101","22.85",
"1089578071","546574093","-950759460","768.9","5.001","315.4","28","1","102","22.85",
"1089578072","546574426","-950758728","774.32","5.104","315.4","28","1","103","22.85",
"1089578073","546574734","-950758039","778.85","4.656","315.6","28","1","104","22.85",
"1089578074","546575035","-950757237","784.5","4.516","315.6","28","1","105","23.11",
"1089578075","546575389","-950756366","790.33","4.563","316.0","28","1","106","23.11",
"1089578076","546575811","-950755406","798.01","4.88","316.20000000000005","28","1","107","23.11",
"1089578077","546576228","-950754414","805.25","5.598","316.20000000000005","28","1","108","23.11",
"1089578078","546576651","-950753395","812.63","6.102","316.20000000000005","28","1","108","23.11",
"1089578079","546577077","-950752369","820.74","6.158","316.20000000000005","28","1","109","24.85",
"1089578080","546577433","-950751376","828.22","6.13","316.20000000000005","28","1","109","24.85",
"1089578081","546577828","-950750360","835.89","6.27","316.20000000000005","28","1","110","24.85",
"1089578082","546578185","-950749279","843.14","6.503","316.0","28","1","110","24.85",
"1089578083","546578439","-950748113","850.92","6.326","316.0","28","1","111","24.85",
"1089578084","546578713","-950746882","859.95","6.671","315.79999999999995","28","1","111","24.85",
"1089578085","546578957","-950745754","867.95","6.373","315.79999999999995","28","1","112","26.02",
"1089578086","546579197","-950744735","875.67","5.71","315.79999999999995","28","1","112","26.02",
"1089578087","546579411","-950743639","883.12","6.009","315.79999999999995","28","1","112","26.02",
"1089578088","546579604","-950742542","890.53","6.065","315.79999999999995","28","1","112","26.02",
"1089578089","546579805","-950741466","897.84","6.018","315.79999999999995","28","1","113","26.02",
"1089578090","546579907","-950740431","905.05","5.57","316.0","28","1","113","26.4",
"1089578091","546579945","-950739476","911.38","5.253","316.0","28","1","113","26.4",
"1089578092","546579951","-950738557","917.36","5.001","316.0","28","1","113","26.4",
"1089578093","546579924","-950737713","922.86","4.507","316.20000000000005","28","1","113","26.4",
