Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,
Data,0,record,timestamp,"1089740202",s,position_lat,"546540333",semicircles,position_long,"-950858716",semicircles,distance,"0.25",m,enhanced_speed,"0.0",m/s,enhanced_altitude,"312.4",m,heart_rate,"74",bpm,temperature,"29",C,unknown,"0",,
Data,0,record,timestamp,"1089740203",s,position_lat,"546540333",semicircles,position_long,"-950858716",semicircles,distance,"0.25",m,enhanced_speed,"0.261",m/s,enhanced_altitude,"312.4",m,heart_rate,"74",bpm,temperature,"29",C,unknown,"0",,
Data,2,record,timestamp,"1089740224",s,position_lat,"546540344",semicircles,position_long,"-950858920",semicircles,distance,"0.25",m,enhanced_speed,"1.465",m/s,enhanced_altitude,"312.20000000000005",m,enhanced_respiration_rate,"12.86",Breaths/min,heart_rate,"73",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740225",s,position_lat,"546540477",semicircles,position_long,"-950858868",semicircles,distance,"1.51",m,enhanced_speed,"1.754",m/s,enhanced_altitude,"312.20000000000005",m,enhanced_respiration_rate,"12.86",Breaths/min,heart_rate,"74",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740226",s,position_lat,"546540570",semicircles,position_long,"-950858812",semicircles,distance,"2.46",m,enhanced_speed,"1.596",m/s,enhanced_altitude,"312.20000000000005",m,enhanced_respiration_rate,"13.69",Breaths/min,heart_rate,"74",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740227",s,position_lat,"546540665",semicircles,position_long,"-950858750",semicircles,distance,"3.23",m,enhanced_speed,"1.465",m/s,enhanced_altitude,"312.20000000000005",m,enhanced_respiration_rate,"13.69",Breaths/min,heart_rate,"75",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740228",s,position_lat,"546540770",semicircles,position_long,"-950858630",semicircles,distance,"3.92",m,enhanced_speed,"1.465",m/s,enhanced_altitude,"312.0",m,enhanced_respiration_rate,"13.69",Breaths/min,heart_rate,"76",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740229",s,position_lat,"546540917",semicircles,position_long,"-950858465",semicircles,distance,"5.88",m,enhanced_speed,"1.428",m/s,enhanced_altitude,"312.20000000000005",m,enhanced_respiration_rate,"13.69",Breaths/min,heart_rate,"77",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740230",s,position_lat,"546541037",semicircles,position_long,"-950858295",semicircles,distance,"7.18",m,enhanced_speed,"1.577",m/s,enhanced_altitude,"312.4",m,enhanced_respiration_rate,"13.69",Breaths/min,heart_rate,"77",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740231",s,position_lat,"546541202",semicircles,position_long,"-950858116",semicircles,distance,"9.23",m,enhanced_speed,"1.661",m/s,enhanced_altitude,"312.4",m,enhanced_respiration_rate,"13.69",Breaths/min,heart_rate,"79",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740232",s,position_lat,"546541322",semicircles,position_long,"-950857969",semicircles,distance,"10.4",m,enhanced_speed,"1.381",m/s,enhanced_altitude,"312.6",m,enhanced_respiration_rate,"13.85",Breaths/min,heart_rate,"80",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740233",s,position_lat,"546541464",semicircles,position_long,"-950857714",semicircles,distance,"12.63",m,enhanced_speed,"1.39",m/s,enhanced_altitude,"312.79999999999995",m,enhanced_respiration_rate,"13.85",Breaths/min,heart_rate,"81",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740234",s,position_lat,"546541585",semicircles,position_long,"-950857509",semicircles,distance,"14.61",m,enhanced_speed,"1.428",m/s,enhanced_altitude,"313.20000000000005",m,enhanced_respiration_rate,"13.85",Breaths/min,heart_rate,"82",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740235",s,position_lat,"546541673",semicircles,position_long,"-950857352",semicircles,distance,"15.59",m,enhanced_speed,"1.297",m/s,enhanced_altitude,"313.6",m,enhanced_respiration_rate,"13.85",Breaths/min,heart_rate,"84",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740236",s,position_lat,"546541850",semicircles,position_long,"-950857146",semicircles,distance,"17.54",m,enhanced_speed,"1.614",m/s,enhanced_altitude,"313.79999999999995",m,enhanced_respiration_rate,"13.85",Breaths/min,heart_rate,"86",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740237",s,position_lat,"546542034",semicircles,position_long,"-950856947",semicircles,distance,"19.98",m,enhanced_speed,"1.512",m/s,enhanced_altitude,"314.20000000000005",m,enhanced_respiration_rate,"14.75",Breaths/min,heart_rate,"88",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740238",s,position_lat,"546542162",semicircles,position_long,"-950856765",semicircles,distance,"21.71",m,enhanced_speed,"1.362",m/s,enhanced_altitude,"314.4",m,enhanced_respiration_rate,"14.75",Breaths/min,heart_rate,"88",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740239",s,position_lat,"546542306",semicircles,position_long,"-950856534",semicircles,distance,"23.9",m,enhanced_speed,"1.642",m/s,enhanced_altitude,"314.6",m,enhanced_respiration_rate,"14.75",Breaths/min,heart_rate,"91",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740240",s,position_lat,"546542429",semicircles,position_long,"-950856283",semicircles,distance,"25.84",m,enhanced_speed,"1.997",m/s,enhanced_altitude,"315.0",m,enhanced_respiration_rate,"14.75",Breaths/min,heart_rate,"92",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740241",s,position_lat,"546542557",semicircles,position_long,"-950855959",semicircles,distance,"28.32",m,enhanced_speed,"2.323",m/s,enhanced_altitude,"315.4",m,enhanced_respiration_rate,"14.75",Breaths/min,heart_rate,"94",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740242",s,position_lat,"546542734",semicircles,position_long,"-950855676",semicircles,distance,"30.78",m,enhanced_speed,"2.473",m/s,enhanced_altitude,"315.6",m,enhanced_respiration_rate,"14.75",Breaths/min,heart_rate,"97",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740243",s,position_lat,"546542909",semicircles,position_long,"-950855394",semicircles,distance,"33.37",m,enhanced_speed,"2.407",m/s,enhanced_altitude,"315.79999999999995",m,enhanced_respiration_rate,"15.34",Breaths/min,heart_rate,"99",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740244",s,position_lat,"546543050",semicircles,position_long,"-950855099",semicircles,distance,"35.94",m,enhanced_speed,"2.379",m/s,enhanced_altitude,"315.79999999999995",m,enhanced_respiration_rate,"15.34",Breaths/min,heart_rate,"102",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740245",s,position_lat,"546543211",semicircles,position_long,"-950854845",semicircles,distance,"38.13",m,enhanced_speed,"2.389",m/s,enhanced_altitude,"316.0",m,enhanced_respiration_rate,"15.34",Breaths/min,heart_rate,"105",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740246",s,position_lat,"546543364",semicircles,position_long,"-950854633",semicircles,distance,"40.01",m,enhanced_speed,"2.155",m/s,enhanced_altitude,"316.0",m,enhanced_respiration_rate,"15.34",Breaths/min,heart_rate,"107",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740247",s,position_lat,"546543515",semicircles,position_long,"-950854417",semicircles,distance,"41.87",m,enhanced_speed,"1.95",m/s,enhanced_altitude,"316.0",m,enhanced_respiration_rate,"15.34",Breaths/min,heart_rate,"108",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740248",s,position_lat,"546543694",semicircles,position_long,"-950854215",semicircles,distance,"44.04",m,enhanced_speed,"1.95",m/s,enhanced_altitude,"316.20000000000005",m,enhanced_respiration_rate,"15.74",Breaths/min,heart_rate,"110",bpm,temperature,"29",C,unknown,"1",,
Data,2,record,timestamp,"1089740249",s,position_lat,"546543818",semicircles,position_long,"-950853977",semicircles,distance,"46.26",m,enhanced_speed,"1.801",m/s,enhanced_altitude,"316.20000000000005",m,enhanced_respiration_rate,"15.74",Breaths/min,heart_rate,"112",bpm,temperature,"29",C,unknown,"1",,
