record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],record.heart_rate[bpm],record.enhanced_respiration_rate[Breaths/min],
"1089810908","0.0","223.60000000000002","24","0",,,,,,,
"1089810909","0.0","223.60000000000002","24","1","546540176","-950844437","1.372",,,,
"1089810910","5.39","223.60000000000002","24","1","546539965","-950843517","1.493",,,,
"1089810911","15.77","223.20000000000005","24","1","546539997","-950842051","1.652",,,,
"1089810912","16.97","223.20000000000005","24","1","546539995","-950841621","1.484",,,,
"1089810913","22.08","223.39999999999998","24","1","546539935","-950840447","1.68",,,,
"1089810914","24.59","223.60000000000002","24","1","546539834","-950839720","1.241",,,,
"1089810915","29.86","223.79999999999995","24","1","546539680","-950839069","1.418",,,,
"1089810916","34.41","223.79999999999995","24","1","546539531","-950838502","1.474",,,,
"1089810917","37.94","223.79999999999995","24","1","546539380","-950838078","1.512",,,,
"1089810918","40.89","223.79999999999995","24","1","546539268","-950837760","1.157",,,,
"1089810919","43.97","224.20000000000005","24","1","546539189","-950837390","1.437",,,,
"1089810920","46.7","224.39999999999998","24","1","546539063","-950837109","1.353",,,,
"1089810921","49.64","224.39999999999998","24","1","546538901","-950836750","1.764",,,,
"1089810922","52.01","224.60000000000002","24","1","546538783","-950836403","1.903",,,,
"1089810923","54.67","224.79999999999995","24","1","546538641","-950836061","1.931",,,,
"1089810924","57.49","225.0","24","1","546538482","-950835719","2.053",,,,
"1089810925","60.02","225.20000000000005","24","1","546538313","-950835389","2.127",,,,
"1089810926","62.99","225.20000000000005","24","1","546538141","-950835037","2.146",,,,
"1089810927","66.42","225.20000000000005","24","1","546538048","-950834538","2.762",,,,
"1089810928","69.28","225.20000000000005","24","1","546537977","-950834168","2.473",,,,
"1089810929","72.16","225.20000000000005","24","1","546537961","-950833712","2.753",,,,
"1089810930","74.81","225.39999999999998","24","1","546538037","-950833296","2.865",,,,
"1089810931","77.52","225.39999999999998","24","1","546538104","-950832837","3.172",,,,
"1089810932","80.09","225.60000000000002","24","1","546538196","-950832439","3.163",,,,
"1089810933","82.89","225.60000000000002","24","1","546538238","-950831950","3.322",,,,
