record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,
"1096455572","568784768","-629749799","0.0","0.0","134.60000000000002","11","0",
"1096455573","568784768","-629749799","0.0","0.0","134.60000000000002","11","0",
"1096455576","568785076","-629750324","0.0","3.126","137.0","11","1",
"1096455577","568785468","-629750768","4.54","4.992","137.0","11","1",
"1096455578","568786013","-629751374","10.85","6.643","137.0","11","1",
"1096455579","568786632","-629752166","18.38","7.791","137.0","11","1",
"1096455580","568787355","-629753026","27.06","8.454","137.0","11","1",
"1096455581","568788097","-629753866","35.91","8.612","137.0","11","1",
"1096455582","568788903","-629754811","45.37","9.601","137.0","11","1",
"1096455583","568789802","-629755830","55.85","10.422","137.0","11","1",
"1096455584","568790710","-629756908","66.74","10.702","137.0","11","1",
"1096455585","568791635","-629758024","77.9","11.029","137.0","11","1",
"1096455586","568792557","-629759209","89.22","11.383","137.0","11","1",
"1096455587","568793435","-629760568","101.11","11.701","137.0","11","1",
"1096455588","568794285","-629762036","113.28","12.111","137.0","11","1",
"1096455589","568795115","-629763617","125.93","12.466","137.0","11","1",
"1096455590","568795956","-629765216","138.63","12.736","137.0","11","1",
"1096455591","568796816","-629766887","151.88","13.044","137.0","11","1",
"1096455592","568797646","-629768591","165.1","13.184","137.0","11","1",
"1096455593","568798452","-629770364","178.55","13.371","137.0","11","1",
"1096455594","568799233","-629772197","192.22","13.548","137.0","11","1",
"1096455595","568799983","-629774076","205.99","13.725","137.0","11","1",
"1096455596","568800717","-629775975","219.75","13.865","137.0","11","1",
"1096455597","568801453","-629777894","233.58","13.903","137.20000000000005","11","1",
"1096455598","568802230","-629779789","247.58","13.819","137.20000000000005","11","1",
"1096455599","568803045","-629781605","261.3","13.688","137.20000000000005","11","1",
"1096455600","568803873","-629783357","274.75","13.464","137.20000000000005","11","1",
"1096455601","568804716","-629785058","288.05","13.212","137.20000000000005","11","1",
"1096455602","568805572","-629786688","301.03","12.979","137.20000000000005","11","1",
"1096455603","568806450","-629788251","313.82","12.802","137.39999999999998","11","1",
"1096455604","568807381","-629789726","326.5","12.69","137.39999999999998","11","1",
"1096455605","568808339","-629791127","339.07","12.503","137.39999999999998","11","1",
"1096455606","568809297","-629792464","351.36","12.223","137.39999999999998","11","1",
"1096455607","568810298","-629793686","363.43","12.055","137.39999999999998","11","1",
"1096455608","568811357","-629794788","375.45","12.027","137.60000000000002","11","1",
"1096455609","568812441","-629795833","387.45","12.055","137.60000000000002","11","1",
"1096455610","568813561","-629796831","399.65","12.055","137.79999999999995","11","1",
"1096455611","568814665","-629797780","411.45","11.859","137.79999999999995","12","1",
"1096455612","568815743","-629798747","423.25","11.542","137.79999999999995","11","1",
"1096455613","568816740","-629799745","434.54","11.132","137.79999999999995","11","1",
"1096455614","568817655","-629800757","445.12","10.777","138.0","11","1",
"1096455615","568818534","-629801769","455.46","10.404","138.0","11","1",
"1096455616","568819344","-629802822","465.44","10.003","138.20000000000005","11","1",
"1096455617","568820083","-629803926","475.28","9.592","138.39999999999998","11","1",
"1096455618","568820778","-629804987","484.6","9.247","138.60000000000002","11","1",
"1096455619","568821421","-629806050","493.55","8.929","138.79999999999995","11","1",
"1096455620","568822030","-629807066","502.16","8.5","139.0","11","1",
"1096455621","568822632","-629808056","510.51","8.416","139.0","11","1",
"1096455622","568823222","-629809051","518.85","8.314","139.20000000000005","11","1",
"1096455623","568823867","-629809954","527.12","8.183","139.60000000000002","11","1",
"1096455624","568824506","-629810832","535.25","8.183","139.79999999999995","11","1",
"1096455625","568825160","-629811726","543.51","8.267","140.20000000000005","11","1",
"1096455626","568825827","-629812598","551.87","8.183","140.20000000000005","11","1",
"1096455627","568826507","-629813426","560.03","8.276","140.39999999999998","11","1",
"1096455628","568827223","-629814259","568.42","8.416","140.60000000000002","11","1",
"1096455629","568827928","-629815069","576.75","8.146","140.79999999999995","11","1",
"1096455630","568828651","-629815853","585.2","8.099","140.79999999999995","11","1",
"1096455631","568829345","-629816616","593.26","8.099","141.0","11","1",
"1096455632","568830029","-629817414","601.41","8.108","141.0","11","1",
"1096455633","568830722","-629818171","609.46","8.09","141.0","11","1",
"1096455634","568831410","-629818932","617.4","8.09","141.20000000000005","11","1",
"1096455635","568832111","-629819708","625.55","8.127","141.20000000000005","11","1",
"1096455636","568832803","-629820508","633.69","8.22","141.20000000000005","11","1",
"1096455637","568833501","-629821367","642.15","8.379","141.39999999999998","11","1",
"1096455638","568834182","-629822263","650.65","8.463","141.39999999999998","11","1",
"1096455639","568834869","-629823151","659.05","8.538","141.39999999999998","11","1",
"1096455640","568835577","-629824074","667.88","8.584","141.60000000000002","11","1",
"1096455641","568836255","-629825016","676.53","8.575","141.60000000000002","11","1",
"1096455642","568836935","-629825978","685.38","8.594","141.60000000000002","11","1",
"1096455643","568837601","-629826919","693.98","8.584","141.79999999999995","11","1",
"1096455644","568838269","-629827812","702.33","8.482","141.79999999999995","11","1",
"1096455645","568838922","-629828718","710.67","8.323","141.79999999999995","11","1",
"1096455646","568839546","-629829629","718.9","8.099","142.0","11","1",
"1096455647","568840150","-629830479","726.67","7.81","142.0","11","1",
"1096455648","568840741","-629831275","734.1","7.521","142.20000000000005","11","1",
"1096455649","568841306","-629832048","741.3","7.185","142.20000000000005","11","1",
"1096455650","568841841","-629832787","748.13","6.867","142.39999999999998","11","1",
"1096455651","568842332","-629833504","754.55","6.485","142.39999999999998","11","1",
"1096455652","568842843","-629834206","761.0","6.522","142.60000000000002","11","1",
"1096455653","568843357","-629834931","767.53","6.615","143.0","11","1",
"1096455654","568843881","-629835633","774.19","6.522","143.39999999999998","11","1",
"1096455655","568844401","-629836304","780.58","6.513","143.39999999999998","11","1",
"1096455656","568844920","-629836985","787.11","6.42","143.60000000000002","11","1",
"1096455657","568845428","-629837676","793.45","6.559","143.79999999999995","11","1",
"1096455658","568845934","-629838389","799.98","6.494","146.20000000000005","11","1",
"1096455659","568846447","-629839110","806.6","6.513","146.79999999999995","11","1",
"1096455660","568846963","-629839768","812.99","6.41","147.0","11","1",
"1096455661","568847443","-629840452","819.1","6.373","147.20000000000005","11","1",
"1096455662","568847945","-629841133","825.47","6.28","147.20000000000005","11","1",
"1096455663","568848436","-629841817","831.7","6.364","147.39999999999998","11","1",
"1096455664","568848935","-629842528","838.16","6.373","147.39999999999998","11","1",
"1096455665","568849427","-629843246","844.61","6.298","147.60000000000002","11","1",
"1096455666","568849921","-629844003","851.15","6.541","150.0","11","1",
"1096455667","568850442","-629844732","857.88","6.569","151.20000000000005","11","1",
"1096455668","568850991","-629845433","864.64","6.671","151.20000000000005","11","1",
"1096455669","568851512","-629846198","871.46","6.765","151.39999999999998","11","1",
"1096455670","568852013","-629846977","878.17","6.709","151.39999999999998","11","1",
"1096455671","568852527","-629847778","885.12","6.755","151.60000000000002","11","1",
"1096455672","568853040","-629848583","892.12","6.737","151.60000000000002","11","1",
"1096455673","568853502","-629849420","898.95","6.718","151.79999999999995","11","1",
"1096455674","568853968","-629850262","905.77","6.746","151.79999999999995","11","1",
"1096455675","568854458","-629851066","912.61","6.671","152.0","11","1",
"1096455676","568854925","-629851894","919.43","6.643","152.0","11","1",
"1096455677","568855327","-629852739","925.9","6.476","153.60000000000002","11","1",
"1096455678","568855737","-629853614","932.62","6.485","155.20000000000005","11","1",
"1096455679","568856119","-629854480","939.14","6.392","155.60000000000002","11","1",
"1096455680","568856497","-629855340","945.57","6.392","155.79999999999995","11","1",
"1096455681","568856859","-629856208","952.04","6.289","156.0","11","1",
"1096455682","568857221","-629857058","958.33","6.289","156.0","11","1",
"1096455683","568857587","-629857942","964.9","6.354","156.20000000000005","11","1",
"1096455684","568857928","-629858836","971.35","6.466","156.39999999999998","11","1",
"1096455685","568858281","-629859750","977.98","6.587","156.39999999999998","11","1",
"1096455686","568858650","-629860670","984.69","6.662","156.60000000000002","11","1",
"1096455687","568858994","-629861612","991.5","6.559","156.60000000000002","11","1",
"1096455688","568859347","-629862524","998.09","6.615","158.60000000000002","11","1",
"1096455689","568859686","-629863443","1004.74","6.541","159.20000000000005","11","1",
"1096455690","568860087","-629864337","1011.46","6.802","159.39999999999998","11","1",
"1096455691","568860539","-629865216","1018.4","7.063","159.39999999999998","11","1",
"1096455692","568861026","-629866118","1025.69","7.362","159.60000000000002","11","1",
"1096455693","568861596","-629867029","1033.49","7.875","159.79999999999995","11","1",
"1096455694","568862219","-629867955","1041.69","8.314","159.79999999999995","11","1",
"1096455695","568862887","-629868838","1049.97","8.426","159.79999999999995","11","1",
"1096455696","568863635","-629869700","1058.66","8.78","160.0","11","1",
"1096455697","568864423","-629870556","1067.84","8.855","160.0","11","1",
"1096455698","568865221","-629871351","1076.85","8.827","160.0","11","1",
"1096455699","568866006","-629872137","1085.7","8.743","160.20000000000005","11","1",
"1096455700","568866787","-629872906","1094.42","8.603","160.20000000000005","11","1",
"1096455701","568867589","-629873624","1103.18","8.584","160.20000000000005","11","1",
"1096455702","568868389","-629874321","1111.77","8.556","160.39999999999998","11","1",
"1096455703","568869187","-629875022","1120.6","8.435","160.60000000000002","11","1",
"1096455704","568869922","-629875699","1128.68","8.248","160.79999999999995","11","1",
"1096455705","568870665","-629876330","1136.45","8.174","161.0","11","1",
"1096455706","568871509","-629876792","1144.68","8.127","161.20000000000005","11","1",
"1096455707","568872303","-629877441","1152.92","8.23","163.60000000000002","11","1",
"1096455708","568872944","-629878435","1161.51","8.202","164.60000000000002","12","1",
"1096455709","568873356","-629879676","1170.2","8.416","164.79999999999995","12","1",
"1096455710","568873497","-629881060","1178.75","8.855","165.0","12","1",
