record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1096552727","563401921","-638913504","2.15","2.23","30.600000000000023","71","21","0",,
"1096552728","563401677","-638913418","4.63","2.575","30.600000000000023","72","21","1",,
"1096552729","563401406","-638913410","6.99","2.846","30.799999999999955","72","21","1",,
"1096552730","563401094","-638913311","9.87","2.976","30.799999999999955","73","21","1",,
"1096552731","563400776","-638913178","13.09","2.874","30.799999999999955","74","20","1",,
"1096552732","563400480","-638913103","15.84","2.809","30.799999999999955","74","21","1",,
"1096552733","563400191","-638913055","18.64","2.687","31.0","75","21","1","20.08",
"1096552734","563399909","-638913020","21.44","2.715","31.0","75","20","1","20.08",
"1096552735","563399607","-638913031","24.02","3.228","31.0","75","21","1","20.08",
"1096552736","563399228","-638913126","27.57","3.648","31.0","75","20","1","20.08",
"1096552737","563398809","-638913187","31.47","3.891","31.0","75","20","1","20.08",
"1096552738","563398364","-638913170","35.63","4.106","31.0","75","20","1","20.08",
"1096552739","563397917","-638913123","39.78","4.143","31.200000000000045","75","20","1","20.08",
"1096552740","563397481","-638913050","43.9","3.984","31.200000000000045","76","20","1","20.08",
"1096552741","563397018","-638912999","48.23","4.199","31.399999999999977","76","20","1","20.08",
"1096552742","563396545","-638913014","52.7","4.348","31.399999999999977","77","20","1","20.08",
"1096552743","563396081","-638913022","57.11","4.385","31.399999999999977","77","20","1","20.08",
"1096552744","563395626","-638913018","61.24","4.497","31.600000000000023","77","20","1","20.08",
"1096552745","563395125","-638913021","65.86","4.721","31.600000000000023","79","20","1","20.08",
"1096552746","563394591","-638913031","70.72","4.945","31.600000000000023","80","20","1","20.08",
"1096552747","563394011","-638913048","76.2","5.197","31.600000000000023","82","20","1","19.29",
"1096552748","563393411","-638913082","81.83","5.552","31.600000000000023","84","20","1","19.29",
"1096552749","563392767","-638913092","87.76","6.009","31.600000000000023","85","20","1","19.29",
"1096552750","563392054","-638913049","94.43","6.55","31.600000000000023","86","20","1","19.29",
"1096552751","563391291","-638913064","101.5","7.082","31.600000000000023","87","20","1","19.29",
"1096552752","563390459","-638913060","109.24","7.651","31.399999999999977","87","20","1","19.29",
"1096552753","563389570","-638913087","117.61","8.192","31.200000000000045","88","20","1","19.29",
"1096552754","563388656","-638913108","126.11","8.566","30.799999999999955","88","20","1","19.29",
"1096552755","563387703","-638913117","134.96","8.864","30.399999999999977","88","20","1","19.29",
"1096552756","563386717","-638913097","144.23","9.088","30.0","88","20","1","19.29",
"1096552757","563385728","-638913079","153.47","9.237","29.399999999999977","88","20","1","19.29",
"1096552758","563384751","-638913068","162.6","9.153","28.799999999999955","89","20","1","19.14",
"1096552759","563383774","-638912912","171.72","9.107","28.200000000000045","89","20","1","19.14",
"1096552760","563382827","-638912594","180.82","9.088","27.799999999999955","89","20","1","19.14",
"1096552761","563381909","-638912173","189.86","9.004","27.399999999999977","89","20","1","19.14",
"1096552762","563381025","-638911715","198.7","8.967","27.200000000000045","89","20","1","19.14",
"1096552763","563380168","-638911184","207.21","9.041","27.0","89","20","1","19.14",
"1096552764","563379303","-638910546","216.3","9.153","26.799999999999955","89","20","1","19.14",
"1096552765","563378441","-638909856","225.45","9.34","26.600000000000023","90","20","1","19.14",
"1096552766","563377554","-638909172","234.73","9.648","26.399999999999977","90","20","1","19.14",
"1096552767","563376624","-638908470","244.41","9.993","26.200000000000045","90","20","1","19.14",
"1096552768","563375665","-638907753","254.37","10.198","26.0","90","20","1","19.14",
"1096552769","563374685","-638907001","264.65","10.422","25.600000000000023","90","20","1","19.14",
"1096552770","563373679","-638906262","275.07","10.534","25.0","90","20","1","19.14",
"1096552771","563372658","-638905553","285.67","10.497","24.399999999999977","90","20","1","19.14",
"1096552772","563371628","-638904891","296.14","10.516","24.0","90","20","1","19.14",
"1096552773","563370609","-638904300","306.4","10.32","23.600000000000023","90","20","1","19.14",
"1096552774","563369582","-638903921","316.05","10.189","23.200000000000045","90","20","1","19.14",
"1096552775","563368512","-638903671","326.06","10.058","22.799999999999955","90","20","1","19.14",
"1096552776","563367447","-638903546","335.94","9.835","22.600000000000023","90","20","1","19.14",
"1096552777","563366383","-638903646","345.81","9.788","22.200000000000045","90","20","1","19.14",
"1096552778","563365308","-638903878","356.01","9.853","22.200000000000045","90","20","1","19.14",
"1096552779","563364248","-638904261","366.27","10.096","22.0","90","20","1","19.14",
"1096552780","563363203","-638904745","376.27","10.469","21.799999999999955","90","20","1","19.14",
"1096552781","563362076","-638905338","387.35","11.001","21.799999999999955","92","20","1","19.14",
"1096552782","563360923","-638906153","399.34","11.598","21.799999999999955","92","20","1","19.14",
"1096552783","563359732","-638906922","411.56","11.831","21.799999999999955","92","20","1","19.14",
"1096552784","563358567","-638907575","423.15","11.505","21.200000000000045","92","20","1","19.14",
"1096552785","563357449","-638908214","434.47","10.833","20.399999999999977","94","20","1","19.14",
"1096552786","563356395","-638908613","444.78","9.984","19.200000000000045","94","20","1","19.14",
"1096552787","563355451","-638908806","453.63","8.967","18.200000000000045","95","20","1","19.14",
"1096552788","563354618","-638908802","461.33","7.81","17.399999999999977","95","20","1","19.14",
"1096552789","563353889","-638908755","468.11","6.643","16.399999999999977","96","20","1","19.14",
"1096552790","563353291","-638908785","473.52","5.552","15.600000000000023","96","20","1","19.14",
"1096552791","563352794","-638909033","478.29","4.796","15.0","95","20","1","19.14",
"1096552792","563352447","-638909646","483.11","5.281","14.399999999999977","95","20","1","19.14",
"1096552793","563352228","-638910476","488.52","5.925","13.799999999999955","93","20","1","20.74",
"1096552794","563352169","-638911504","494.94","6.466","13.0","93","20","1","20.74",
"1096552795","563352367","-638912567","501.88","6.718","12.399999999999977","91","20","1","20.74",
"1096552796","563352674","-638913553","508.82","6.839","11.800000000000011","88","20","1","20.74",
"1096552797","563353017","-638914500","515.54","6.961","10.800000000000011","87","20","1","20.74",
"1096552798","563353393","-638915462","522.6","7.007","10.399999999999977","86","20","1","20.13",
"1096552799","563353791","-638916417","529.77","7.101","10.199999999999989","86","20","1","20.13",
"1096552800","563354232","-638917314","536.77","7.129","10.0","86","20","1","20.13",
"1096552801","563354721","-638918174","543.78","7.157","10.0","86","20","1","20.13",
"1096552802","563355282","-638918979","551.11","7.129","9.800000000000011","86","20","1","20.13",
"1096552803","563355872","-638919722","558.4","7.138","9.800000000000011","86","20","1","20.13",
"1096552804","563356462","-638920411","565.51","7.063","9.800000000000011","87","20","1","19.71",
"1096552805","563357035","-638921063","572.22","6.905","9.800000000000011","88","20","1","19.71",
"1096552806","563357589","-638921709","578.88","6.671","9.800000000000011","88","20","1","19.71",
"1096552807","563358092","-638922353","585.03","6.438","9.800000000000011","89","20","1","19.71",
"1096552808","563358583","-638923010","591.13","6.233","10.0","90","20","1","19.71",
"1096552809","563359075","-638923693","597.48","6.084","10.199999999999989","90","20","1","19.71",
"1096552810","563359538","-638924337","603.38","5.878","10.600000000000023","91","20","1","19.71",
"1096552811","563359951","-638925009","609.17","5.645","10.800000000000011","91","20","1","19.84",
"1096552812","563360309","-638925696","614.71","5.449","11.199999999999989","91","20","1","19.84",
"1096552813","563360645","-638926344","619.86","5.244","11.399999999999977","91","20","1","19.84",
"1096552814","563360979","-638926971","624.86","5.123","11.600000000000023","91","20","1","19.84",
"1096552815","563361288","-638927610","629.85","4.973","12.0","91","20","1","19.92",
"1096552816","563361574","-638928251","634.68","4.917","12.200000000000045","91","20","1","19.92",
"1096552817","563361835","-638928924","639.61","4.861","12.399999999999977","92","20","1","19.92",
"1096552818","563362088","-638929599","644.41","4.899","12.600000000000023","92","20","1","19.92",
"1096552819","563362353","-638930284","649.45","4.917","12.799999999999955","93","20","1","19.92",
"1096552820","563362614","-638930987","654.55","5.011","13.0","94","20","1","21.15",
"1096552821","563362843","-638931720","659.77","5.076","13.200000000000045","95","20","1","21.15",
"1096552822","563363069","-638932435","664.75","5.16","13.600000000000023","96","20","1","21.15",
"1096552823","563363300","-638933164","669.89","5.197","13.799999999999955","96","20","1","21.15",
"1096552824","563363512","-638933911","675.05","5.3","14.0","97","20","1","21.15",
"1096552825","563363748","-638934637","680.11","5.309","14.200000000000045","98","20","1","21.97",
"1096552826","563364016","-638935363","685.34","5.346","14.200000000000045","98","20","1","21.97",
"1096552827","563364271","-638936108","690.66","5.384","14.200000000000045","99","20","1","21.97",
"1096552828","563364529","-638936863","695.99","5.449","14.399999999999977","100","20","1","21.97",
"1096552829","563364785","-638937630","701.45","5.496","14.600000000000023","101","20","1","21.97",
"1096552830","563365043","-638938390","706.74","5.542","14.600000000000023","102","20","1","22.52",
"1096552831","563365316","-638939222","712.63","5.645","14.799999999999955","103","20","1","22.52",
"1096552832","563365623","-638940005","718.47","5.692","14.799999999999955","104","20","1","22.52",
"1096552833","563365921","-638940729","723.72","5.729","14.799999999999955","105","20","1","22.52",
"1096552834","563366229","-638941524","729.54","5.729","14.799999999999955","106","20","1","22.52",
"1096552835","563366552","-638942314","735.32","5.785","14.799999999999955","107","20","1","22.89",
"1096552836","563366880","-638943112","741.28","5.748","14.600000000000023","108","20","1","22.89",
"1096552837","563367230","-638943872","747.06","5.748","14.600000000000023","108","20","1","22.89",
"1096552838","563367602","-638944633","753.02","5.804","14.600000000000023","109","20","1","22.89",
"1096552839","563367971","-638945386","758.91","5.85","14.600000000000023","109","20","1","22.89",
"1096552840","563368343","-638946144","764.83","5.906","15.0","109","20","1","23.13",
"1096552841","563368707","-638946914","770.75","5.869","15.200000000000045","109","20","1","23.13",
"1096552842","563369102","-638947691","776.96","5.972","15.399999999999977","109","20","1","23.13",
"1096552843","563369521","-638948444","783.09","6.046","15.600000000000023","109","20","1","23.13",
"1096552844","563369937","-638949217","789.35","6.149","15.600000000000023","109","20","1","23.13",
"1096552845","563370325","-638950035","795.78","6.196","15.799999999999955","109","20","1","23.13",
