record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1105542251","-139187856","1991714304","0.4","98.20000000000005","11.294","355","162","103","98.20000000000005","11.294",
"1105542252","-139188016","1991714432","2.2","98.20000000000005","11.311","355","162","103","98.20000000000005","11.311",
"1105542253","-139188992","1991715200","13.72","98.20000000000005","11.534","419","163","104","98.20000000000005","11.534",
"1105542254","-139189952","1991715968","25.12","98.20000000000005","11.759","406","164","104","98.20000000000005","11.759",
"1105542255","-139190944","1991716864","37.02","98.20000000000005","11.919","363","165","104","98.20000000000005","11.919",
"1105542256","-139192112","1991717376","48.92","98.20000000000005","11.956","394","165","104","98.20000000000005","11.956",
"1105542257","-139193376","1991717504","61.0","98.20000000000005","12.076","405","166","103","98.20000000000005","12.076",
"1105542258","-139194672","1991717376","73.32","98.20000000000005","12.221","312","166","104","98.20000000000005","12.221",
"1105542259","-139195616","1991716480","85.43","98.20000000000005","12.343","343","167","104","98.20000000000005","12.343",
"1105542260","-139196336","1991715328","97.73","98.20000000000005","12.431","334","168","104","98.20000000000005","12.431",
"1105542261","-139197088","1991714048","110.53","98.20000000000005","12.554","340","168","103","98.20000000000005","12.554",
"1105542262","-139197824","1991713024","123.14","98.20000000000005","12.627","329","169","102","98.20000000000005","12.627",
"1105542263","-139198544","1991711872","135.45","98.0","12.667","322","170","102","98.0","12.667",
"1105542264","-139199360","1991710848","148.33","98.0","12.697","333","170","102","98.0","12.697",
"1105542265","-139200224","1991709696","161.15","98.20000000000005","12.721","343","171","102","98.20000000000005","12.721",
"1105542266","-139201136","1991708672","173.58","98.20000000000005","12.716","334","171","102","98.20000000000005","12.716",
"1105542267","-139202160","1991707776","186.45","98.20000000000005","12.679","362","171","100","98.20000000000005","12.679",
"1105542268","-139203216","1991706752","199.01","98.39999999999998","12.597","357","172","101","98.39999999999998","12.597",
"1105542269","-139204320","1991706112","211.53","98.60000000000002","12.487","429","172","101","98.60000000000002","12.487",
"1105542270","-139205440","1991705344","224.03","99.0","12.365","413","172","101","99.0","12.365",
"1105542271","-139206608","1991704576","236.28","99.39999999999998","12.221","388","173","100","99.39999999999998","12.221",
"1105542272","-139207792","1991704064","248.41","99.60000000000002","12.065","336","173","98","99.60000000000002","12.065",
"1105542273","-139209008","1991703680","260.33","100.0","11.983","413","173","98","100.0","11.983",
"1105542274","-139210256","1991703296","272.37","100.0","12.047","401","173","98","100.0","12.047",
"1105542275","-139211536","1991703040","284.65","100.20000000000005","12.183","400","173","99","100.20000000000005","12.183",
"1105542276","-139212816","1991702656","296.87","100.0","12.372","391","173","99","100.0","12.372",
"1105542277","-139214128","1991702400","309.38","100.0","12.556","367","174","99","100.0","12.556",
"1105542278","-139215472","1991702016","321.94","99.79999999999995","12.69","269","174","100","99.79999999999995","12.69",
"1105542279","-139216816","1991701888","334.69","99.39999999999998","12.62","262","174","99","99.39999999999998","12.62",
"1105542280","-139218144","1991701504","347.34","99.20000000000005","12.439","306","175","98","99.20000000000005","12.439",
"1105542281","-139219456","1991701376","359.67","98.79999999999995","12.501","330","175","99","98.79999999999995","12.501",
"1105542282","-139220784","1991701120","372.28","98.60000000000002","12.544","264","175","99","98.60000000000002","12.544",
"1105542283","-139222128","1991700864","384.76","98.20000000000005","12.685","326","175","100","98.20000000000005","12.685",
"1105542284","-139223472","1991700608","397.52","97.79999999999995","12.905","355","175","100","97.79999999999995","12.905",
"1105542285","-139224848","1991700480","410.41","97.39999999999998","13.143","356","175","101","97.39999999999998","13.143",
"1105542286","-139226288","1991700224","423.89","97.0","13.489","399","176","102","97.0","13.489",
"1105542287","-139227744","1991700096","437.49","96.60000000000002","13.87","381","176","103","96.60000000000002","13.87",
"1105542288","-139229264","1991699840","451.7","96.0","14.146","326","176","105","96.0","14.146",
"1105542289","-139230768","1991699712","465.7","95.60000000000002","14.254","255","176","104","95.60000000000002","14.254",
"1105542290","-139232352","1991699712","480.33","95.20000000000005","14.472","264","176","104","95.20000000000005","14.472",
"1105542291","-139233904","1991699712","494.69","94.60000000000002","14.687","285","176","104","94.60000000000002","14.687",
"1105542292","-139235520","1991699712","509.73","94.20000000000005","14.883","285","176","103","94.20000000000005","14.883",
"1105542293","-139237120","1991699712","524.63","93.60000000000002","14.963","303","176","104","93.60000000000002","14.963",
"1105542294","-139238704","1991699840","539.43","93.20000000000005","15.027","361","176","104","93.20000000000005","15.027",
"1105542295","-139240352","1991700096","554.77","92.79999999999995","15.036","300","176","105","92.79999999999995","15.036",
"1105542296","-139241952","1991700224","569.86","92.39999999999998","15.027","285","176","104","92.39999999999998","15.027",
