Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Data,3,record,timestamp,"1110380649",s,position_lat,"447882176",semicircles,position_long,"-923816704",semicircles,distance,"0.25",m,altitude,"51.60000000000002",m,speed,"11.178",m/s,power,"392",watts,heart_rate,"135",bpm,cadence,"102",rpm,enhanced_altitude,"51.60000000000002",m,enhanced_speed,"11.178",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380650",s,position_lat,"447881440",semicircles,position_long,"-923817344",semicircles,distance,"8.39",m,altitude,"51.60000000000002",m,speed,"11.328",m/s,power,"392",watts,heart_rate,"136",bpm,cadence,"102",rpm,enhanced_altitude,"51.60000000000002",m,enhanced_speed,"11.328",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380651",s,position_lat,"447880544",semicircles,position_long,"-923818304",semicircles,distance,"19.81",m,altitude,"51.60000000000002",m,speed,"11.518",m/s,power,"384",watts,heart_rate,"137",bpm,cadence,"103",rpm,enhanced_altitude,"51.60000000000002",m,enhanced_speed,"11.518",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380652",s,position_lat,"447879808",semicircles,position_long,"-923819584",semicircles,distance,"31.43",m,altitude,"51.60000000000002",m,speed,"11.703",m/s,power,"399",watts,heart_rate,"138",bpm,cadence,"103",rpm,enhanced_altitude,"51.60000000000002",m,enhanced_speed,"11.703",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380653",s,position_lat,"447879904",semicircles,position_long,"-923821120",semicircles,distance,"43.04",m,altitude,"51.799999999999955",m,speed,"11.826",m/s,power,"399",watts,heart_rate,"139",bpm,cadence,"103",rpm,enhanced_altitude,"51.799999999999955",m,enhanced_speed,"11.826",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380654",s,position_lat,"447880544",semicircles,position_long,"-923822528",semicircles,distance,"55.02",m,altitude,"51.799999999999955",m,speed,"11.942",m/s,power,"378",watts,heart_rate,"139",bpm,cadence,"102",rpm,enhanced_altitude,"51.799999999999955",m,enhanced_speed,"11.942",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380655",s,position_lat,"447881312",semicircles,position_long,"-923823872",semicircles,distance,"66.98",m,altitude,"52.0",m,speed,"12.022",m/s,power,"378",watts,heart_rate,"140",bpm,cadence,"102",rpm,enhanced_altitude,"52.0",m,enhanced_speed,"12.022",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380656",s,position_lat,"447882080",semicircles,position_long,"-923825152",semicircles,distance,"79.0",m,altitude,"52.0",m,speed,"12.053",m/s,power,"354",watts,heart_rate,"140",bpm,cadence,"102",rpm,enhanced_altitude,"52.0",m,enhanced_speed,"12.053",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380657",s,position_lat,"447882880",semicircles,position_long,"-923826432",semicircles,distance,"91.06",m,altitude,"52.200000000000045",m,speed,"12.066",m/s,power,"354",watts,heart_rate,"141",bpm,cadence,"102",rpm,enhanced_altitude,"52.200000000000045",m,enhanced_speed,"12.066",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380658",s,position_lat,"447883648",semicircles,position_long,"-923827776",semicircles,distance,"103.26",m,altitude,"52.200000000000045",m,speed,"12.1",m/s,power,"343",watts,heart_rate,"142",bpm,cadence,"102",rpm,enhanced_altitude,"52.200000000000045",m,enhanced_speed,"12.1",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380659",s,position_lat,"447884416",semicircles,position_long,"-923829056",semicircles,distance,"115.2",m,altitude,"52.39999999999998",m,speed,"12.123",m/s,power,"340",watts,heart_rate,"143",bpm,cadence,"101",rpm,enhanced_altitude,"52.39999999999998",m,enhanced_speed,"12.123",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380660",s,position_lat,"447885184",semicircles,position_long,"-923830336",semicircles,distance,"127.44",m,altitude,"52.60000000000002",m,speed,"12.156",m/s,power,"347",watts,heart_rate,"144",bpm,cadence,"100",rpm,enhanced_altitude,"52.60000000000002",m,enhanced_speed,"12.156",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380661",s,position_lat,"447886016",semicircles,position_long,"-923831680",semicircles,distance,"139.5",m,altitude,"52.60000000000002",m,speed,"12.17",m/s,power,"339",watts,heart_rate,"145",bpm,cadence,"100",rpm,enhanced_altitude,"52.60000000000002",m,enhanced_speed,"12.17",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380662",s,position_lat,"447886784",semicircles,position_long,"-923832960",semicircles,distance,"151.78",m,altitude,"52.799999999999955",m,speed,"12.181",m/s,power,"344",watts,heart_rate,"146",bpm,cadence,"100",rpm,enhanced_altitude,"52.799999999999955",m,enhanced_speed,"12.181",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380663",s,position_lat,"447887552",semicircles,position_long,"-923834240",semicircles,distance,"163.81",m,altitude,"53.0",m,speed,"12.025",m/s,power,"317",watts,heart_rate,"147",bpm,cadence,"99",rpm,enhanced_altitude,"53.0",m,enhanced_speed,"12.025",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380664",s,position_lat,"447888384",semicircles,position_long,"-923835648",semicircles,distance,"176.16",m,altitude,"53.0",m,speed,"12.017",m/s,power,"335",watts,heart_rate,"147",bpm,cadence,"99",rpm,enhanced_altitude,"53.0",m,enhanced_speed,"12.017",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380665",s,position_lat,"447889152",semicircles,position_long,"-923836864",semicircles,distance,"187.99",m,altitude,"53.200000000000045",m,speed,"12.026",m/s,power,"375",watts,heart_rate,"148",bpm,cadence,"98",rpm,enhanced_altitude,"53.200000000000045",m,enhanced_speed,"12.026",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380666",s,position_lat,"447889920",semicircles,position_long,"-923838144",semicircles,distance,"200.03",m,altitude,"53.39999999999998",m,speed,"12.069",m/s,power,"375",watts,heart_rate,"149",bpm,cadence,"98",rpm,enhanced_altitude,"53.39999999999998",m,enhanced_speed,"12.069",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380667",s,position_lat,"447890688",semicircles,position_long,"-923839424",semicircles,distance,"212.11",m,altitude,"53.39999999999998",m,speed,"12.104",m/s,power,"362",watts,heart_rate,"149",bpm,cadence,"98",rpm,enhanced_altitude,"53.39999999999998",m,enhanced_speed,"12.104",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380668",s,position_lat,"447891520",semicircles,position_long,"-923840832",semicircles,distance,"224.22",m,altitude,"53.60000000000002",m,speed,"12.087",m/s,power,"298",watts,heart_rate,"149",bpm,cadence,"98",rpm,enhanced_altitude,"53.60000000000002",m,enhanced_speed,"12.087",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380669",s,position_lat,"447892320",semicircles,position_long,"-923842112",semicircles,distance,"236.32",m,altitude,"53.60000000000002",m,speed,"12.122",m/s,power,"365",watts,heart_rate,"150",bpm,cadence,"97",rpm,enhanced_altitude,"53.60000000000002",m,enhanced_speed,"12.122",m/s,target_power,"0",watts,
Data,3,record,timestamp,"1110380670",s,position_lat,"447893120",semicircles,position_long,"-923843328",semicircles,distance,"248.45",m,altitude,"53.799999999999955",m,speed,"12.13",m/s,power,"353",watts,heart_rate,"150",bpm,cadence,"96",rpm,enhanced_altitude,"53.799999999999955",m,enhanced_speed,"12.13",m/s,target_power,"0",watts,
