record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.1.target_power[watts],
"1110402722","-138864800","1991769856","0.49","7.600000000000023","0.914","65","0","14","7.600000000000023","0.914","0",
"1110402723","-138864768","1991769984","0.91","7.600000000000023","1.292","65","0","19","7.600000000000023","1.292","0",
"1110402724","-138864624","1991769984","2.64","7.600000000000023","2.14","101","0","33","7.600000000000023","2.14","0",
"1110402725","-138864400","1991770112","5.19","7.399999999999977","2.967","127","0","1","7.399999999999977","2.967","0",
"1110402726","-138864112","1991770368","8.53","7.399999999999977","3.709","129","0","1","7.399999999999977","3.709","0",
"1110402727","-138863824","1991770752","12.58","7.199999999999989","4.39","137","0","51","7.199999999999989","4.39","0",
"1110402728","-138863488","1991771008","17.29","7.0","5.004","128","0","62","7.0","5.004","0",
"1110402729","-138863088","1991771648","22.58","6.800000000000011","5.58","140","0","66","6.800000000000011","5.58","0",
"1110402730","-138862640","1991772032","28.5","6.600000000000023","6.073","105","0","67","6.600000000000023","6.073","0",
"1110402731","-138862128","1991772288","34.71","6.399999999999977","6.469","89","0","69","6.399999999999977","6.469","0",
"1110402732","-138861552","1991772928","41.38","6.199999999999989","6.832","100","0","70","6.199999999999989","6.832","0",
"1110402733","-138860912","1991773312","48.51","6.0","7.205","108","0","71","6.0","7.205","0",
"1110402734","-138860256","1991773824","55.85","5.800000000000011","7.508","88","78","76","5.800000000000011","7.508","0",
"1110402735","-138859552","1991774208","63.39","5.600000000000023","7.761","100","77","77","5.600000000000023","7.761","0",
"1110402736","-138858800","1991774592","71.31","5.399999999999977","7.988","97","77","78","5.399999999999977","7.988","0",
"1110402737","-138858048","1991775104","79.48","5.199999999999989","8.209","120","78","79","5.199999999999989","8.209","0",
"1110402738","-138857232","1991775488","87.81","5.0","8.412","106","78","80","5.0","8.412","0",
"1110402739","-138856400","1991775744","96.32","4.800000000000011","8.574","77","79","81","4.800000000000011","8.574","0",
"1110402740","-138855552","1991776128","104.92","4.600000000000023","8.717","91","80","80","4.600000000000023","8.717","0",
"1110402741","-138854672","1991776512","113.65","4.399999999999977","8.863","94","80","81","4.399999999999977","8.863","0",
"1110402742","-138853760","1991776896","122.62","4.199999999999989","9.0","91","80","81","4.199999999999989","9.0","0",
"1110402743","-138852848","1991777280","131.78","4.0","9.13","95","80","82","4.0","9.13","0",
"1110402744","-138851920","1991777664","140.81","3.8000000000000114","9.269","115","81","82","3.8000000000000114","9.269","0",
"1110402745","-138850960","1991778048","150.31","3.6000000000000227","9.424","80","81","81","3.6000000000000227","9.424","0",
"1110402746","-138850016","1991778176","159.67","3.3999999999999773","9.654","111","79","82","3.3999999999999773","9.654","0",
"1110402747","-138849040","1991778688","169.43","3.1999999999999886","9.805","90","79","82","3.1999999999999886","9.805","0",
